time, bias_gyr_x, bias_gyr_y, bias_gyr_z, bias_acc_x, bias_acc_y, bias_acc_z
-1, 0, 0, 0, 0, 0, 0
-1, 0, 0, 0, 0, 0, 0
13085.354280561999985, 0, 0, 0, 0, 0, 0
13085.38759692900021, -0.00284238, 0.00493838, 0.0090082, -5.64546e-05, -1.37593e-05, -4.44803e-05
13085.420913267000287, 0.00158923, -0.0220425, 0.00683643, 0.00257983, 0.000498491, -0.000454064
13085.454379599999811, 0.00596543, -0.0184514, 0.00686695, -0.00638501, 0.000417317, -7.76113e-05
13085.487695924000946, 0.0023378, -0.000181357, 0.0075765, -0.0153272, 0.00151453, -0.000275937
13085.521012262001022, 0.00365808, 0.00348001, 0.00593299, 0.0031251, 0.000126978, -0.000826256
13085.554328690001057, 0.00312998, -0.00176989, 0.0025222, 0.043454, -0.00210374, -0.00153324
13085.587644924000415, 0.00281795, -0.00398484, 0.00169703, 0.0492566, -0.0022439, -0.00186121
13085.620961262000492, 0.00127806, -0.00863933, 0.00561204, 0.280238, -0.0146124, -0.0111644
13085.654277666999405, -0.000369005, -0.0116869, 0.00657529, 0.26761, -0.0138595, -0.0103466
13085.687593933000244, 0.00252808, -0.00511531, 0.0088766, 0.16184, -0.00841234, -0.00316955
13085.720910256999559, 0.00386005, 0.000791205, 0.00854239, 0.125853, -0.00657911, -0.00123804
13085.754226623999784, 0.00335885, 0.00077352, 0.00547914, 0.152758, -0.00789593, -0.00241465
13085.787542961999861, 0.00329872, -0.00584876, 0.00432518, 0.251684, -0.0123959, -0.00782127
13085.821009290000802, 0.00105718, -0.00395588, 0.00458854, 0.222011, -0.0109114, -0.00605681
13085.854325595000773, -6.03115e-05, -0.000742595, 0.00398711, 0.175523, -0.00848178, -0.00399919
13085.887641966999581, -0.0027981, 0.000115261, 0.00369407, 0.154091, -0.00715164, -0.00357171
13085.920958290000272, -0.00513502, -0.00164493, 0.00299374, 0.132292, -0.00578242, -0.00306172
13085.954274600000645, -0.00698893, -0.00176228, 0.00347257, 0.0978225, -0.00282905, -0.0045448
13085.987590957000066, -0.00668934, -0.000725261, 0.00344838, 0.0791094, -0.000615505, -0.00698801
13086.020907289999741, -0.00723152, 0.00132243, 0.00136507, 0.0514163, 0.00306004, -0.0118014
13086.05422362399986, -0.00759937, 0.00276139, 0.000964152, 0.0226398, 0.00695064, -0.0189154
13086.087539927999387, -0.00701654, 0.00112063, 0.000709987, 0.0218883, 0.00683011, -0.0170286
13086.120856294999612, -0.00707483, -0.000636115, 0.00031112, 0.0312186, 0.00556888, -0.011078
13086.154322628000955, -0.00711043, -0.00165716, 0.00077123, 0.0288094, 0.0060057, -0.0123928
13086.187638957000672, -0.00767875, -0.00275237, -0.000976452, 0.0397014, 0.00513416, -0.00585668
13086.220955295000749, -0.00820381, -0.00307922, -0.00172365, 0.0321611, 0.00285503, -0.0152877
13086.254271589999917, -0.00857342, -0.00342945, -0.00241751, 0.0234369, -0.00212622, -0.0296801
13086.287587927999994, -0.00850636, -0.00382391, -0.0013998, 0.0206581, -0.00497066, -0.0403595
13086.320904295000219, -0.00857103, -0.00415947, -0.000824866, 0.0153583, -0.0107381, -0.0550403
13086.354220623999936, -0.00803312, -0.00437922, -0.000124807, 0.0152549, -0.01017, -0.0568511
13086.387536927999463, -0.00746455, -0.00452374, 0.000506079, 0.0146144, -0.00941022, -0.062676
13086.420853261999582, -0.00773809, -0.00444088, 0.000148556, 0.020167, 0.00259454, -0.0386273
13086.454169623999405, -0.00760265, -0.00444026, 0.000150219, 0.0228439, 0.00984327, -0.026006
13086.487485924000794, -0.00722487, -0.00417392, 0.000550343, 0.0278353, 0.0245579, -0.00367497
13086.520952262000719, -0.00711629, -0.00392373, 0.000812554, 0.0303155, 0.0339181, 0.00813744
13086.5542686280005, -0.00730017, -0.00359221, 0.00106405, 0.0258301, 0.0147579, -0.0222209
