time, px, py, pz, qw, qx, qy, qz, vx, vy, vz
-1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
24296.369729466001445, 1.05879e-22, 6.61744e-24, -7.27843e-07, 0.713414, 0.0299958, -0.7001, -5.41644e-06, -0.000226636, -9.71195e-06, -4.06576e-06
24296.40304579900112, -7.81385e-05, -0.000111794, -1.53914e-05, 0.713419, 0.0300185, -0.700095, 3.00932e-05, -9.27922e-05, -0.00324176, 0.00207799
24296.436362166001345, -0.000131049, -0.000309923, 0.000152355, 0.713384, 0.0303774, -0.700115, -0.000291475, 0.00194671, -0.00468993, 0.00235318
24296.469678470999497, -0.000197353, -0.000125596, 9.6355e-05, 0.71329, 0.0296873, -0.70024, 0.000345164, 0.00101162, -0.000766983, 0.00273417
24296.502994832000695, -8.62224e-05, 4.62507e-05, -1.02832e-05, 0.713932, 0.0297522, -0.699582, 0.00021142, -0.000451555, 8.03907e-05, 0.000286043
24296.536311132000264, -0.000196744, -2.97764e-05, 5.97678e-05, 0.713829, 0.0296339, -0.699693, 0.000335759, -0.000173722, -0.000478085, 0.00013126
24296.569627437002055, -0.000326041, 3.41953e-05, 6.64115e-05, 0.713534, 0.0297191, -0.69999, 0.000265034, -0.00113891, -0.000212328, 0.00146138
24296.60294380400228, -0.000361662, -3.70579e-05, 0.000154321, 0.714033, 0.0294478, -0.699493, 0.000520875, -0.000821898, 0.00019883, -5.2304e-05
24296.636260137001955, -0.000470119, -8.80424e-05, 0.000285719, 0.713927, 0.0294056, -0.699602, 0.000571816, -0.00119673, 0.000235288, 0.000720245
24296.669726471001923, -0.000549685, -0.000142288, 0.000376766, 0.713816, 0.0294317, -0.699715, 0.000554697, -2.51522e-07, -2.74283e-05, 0.000907033
24296.703042831999483, -0.000414061, -0.000163207, 0.000268243, 0.714164, 0.0291414, -0.699371, 0.000848086, 0.000198596, 0.00117964, -0.000993099
24296.73635913200269, -0.000368443, -0.000183043, 0.000220074, 0.71405, 0.0290944, -0.699489, 0.000923402, 0.000880759, 0.00196069, -0.000660971
24296.769675498999277, -0.000408867, -0.000215093, 0.000237861, 0.713793, 0.0292485, -0.699745, 0.000769133, 0.00199503, 0.00159227, 0.00071582
24296.80299183200259, -0.00044138, -0.000208576, 0.000235738, 0.713623, 0.0293595, -0.699915, 0.000662594, 0.00200575, 0.00154397, 0.00151832
24296.836308132002159, -0.000462165, -0.000201624, 0.000206785, 0.713617, 0.0295724, -0.699912, 0.000467055, 0.00207123, 0.000810641, 0.00136992
24296.869624471000861, -0.000442214, -0.000207926, 0.000183953, 0.713783, 0.0296307, -0.69974, 0.000402891, 0.000563252, 0.000502307, 0.000731359
24296.902940804000536, -0.000455909, -0.000339724, 0.000218111, 0.713857, 0.0301304, -0.699643, -5.63804e-05, 0.000834785, -0.00210958, 7.79691e-05
24296.936257194000063, -0.000445438, -0.00038775, 0.000220596, 0.71392, 0.0298211, -0.699592, 0.000216305, 0.000154351, -0.00129518, -0.000170775
24296.969573471000331, -0.000438748, -0.000356461, 0.000241496, 0.71387, 0.0296519, -0.69965, 0.000387048, 0.00153708, -0.000715889, 0.000156398
24297.003039832001377, -0.000474625, -0.000269911, 0.000225589, 0.713751, 0.029159, -0.699792, 0.000855574, 0.00111371, 0.00168668, 0.000684035
24297.036356160999276, -0.00044791, -0.000279939, 0.000198471, 0.713763, 0.029408, -0.699769, 0.000630991, 0.00125475, 0.00117801, 0.000233159
24297.069672499001172, -0.000494478, -0.000219074, 0.000234939, 0.713657, 0.0291271, -0.699889, 0.000871463, 0.00158656, 0.00237734, 0.000797911
24297.102988823000487, -0.000554238, -0.000203549, 0.000286925, 0.713582, 0.0292436, -0.69996, 0.00078149, 0.00161163, 0.00212231, 0.00117509
24297.136305166000966, -0.000540129, -0.000267124, 0.000266981, 0.713656, 0.0295429, -0.699873, 0.000527221, 0.00113499, 0.000572199, 0.000632627
24297.169621470002312, -0.000636618, -0.000354351, 0.00030911, 0.713505, 0.0297868, -0.700017, 0.000299289, 0.00114096, -0.000372489, 0.00185828
24297.20293779900021, -0.000700386, -0.000439557, 0.00033306, 0.713456, 0.0300479, -0.700055, 6.8116e-05, 0.00212442, -0.00140383, 0.00257503
24297.236254166000435, -0.00072191, -0.000455396, 0.000339659, 0.713503, 0.0299237, -0.700012, 0.000182101, 0.00170296, -0.00125942, 0.00257645
24297.26957049900011, -0.000741413, -0.000495141, 0.000342832, 0.713636, 0.02981, -0.699883, 0.000288029, 0.00182364, -0.00106001, 0.00207955
24297.302886831999785, -0.000749638, -0.000459376, 0.000327313, 0.713737, 0.0294932, -0.699793, 0.000586026, 0.00142045, 0.000563671, 0.00169469
24297.336353137001424, -0.000682304, -0.000417051, 0.000329033, 0.713941, 0.0291163, -0.6996, 0.000920894, 0.00211818, 0.00203196, 0.000475915
24297.369669498999428, -0.000654508, -0.000356413, 0.000347059, 0.713933, 0.0289987, -0.699612, 0.00103777, 0.00253095, 0.00321597, 0.000217178
24297.402985831999104, -0.000524929, -0.000329718, 0.000344462, 0.714084, 0.0291443, -0.699453, 0.000911674, 0.00283643, 0.00326548, -0.000898071
24297.436302137000894, -0.000476028, -0.00033176, 0.000276904, 0.714002, 0.0295563, -0.699519, 0.000528909, 0.0021776, 0.00156502, -0.000975301
24297.46961846600243, -0.000342596, -0.000304218, 0.000179475, 0.71406, 0.0296155, -0.699458, 0.000447673, 0.00153588, 0.00142501, -0.00180909
