time, px, py, pz, qw, qx, qy, qz, vx, vy, vz
-1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
-1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
13085.354280561999985, -3.80229e-06, 4.20343e-06, -1.17879e-05, 0.702858, -0.0482091, -0.709695, -4.89864e-05, -0.000722896, 0.000508367, 0.000486189
13085.38759692900021, -5.56649e-05, 6.29917e-05, -1.5757e-05, 0.702528, -0.0482134, -0.710021, 0.000239851, -0.000497421, 0.00231103, 0.000485888
13085.420913267000287, 0.000524636, -7.23267e-05, -0.000238489, 0.705082, -0.0455902, -0.707654, -0.00244073, -0.00700454, -0.00352644, -0.0145728
13085.454379599999811, 0.00134412, 0.000960062, 4.70808e-05, 0.707993, -0.0506512, -0.704397, 0.00231569, -0.000270247, 0.0145224, -0.00915862
13085.487695924000946, 0.00507565, -9.47874e-05, 0.000257725, 0.717693, -0.0435565, -0.694987, -0.00348069, 0.000719738, -0.00625194, -0.0527892
13085.521012262001022, 0.00399864, 0.00254704, 0.000982434, 0.708278, -0.0524546, -0.703971, 0.00397596, 0.00318423, 0.0282846, -0.041961
13085.554328690001057, -0.00317113, -0.00699356, -0.000674438, 0.693961, -0.038976, -0.718914, -0.00781148, -0.0109655, -0.0560427, 0.0316575
13085.587644924000415, -0.00740529, -0.00894727, -0.00282766, 0.689887, -0.0374774, -0.722889, -0.00916128, -0.0190024, -0.070369, 0.0779373
13085.620961262000492, -0.00241718, -0.00805295, -0.00588317, 0.696792, -0.0361255, -0.716289, -0.010336, -0.0479476, -0.0533677, -0.00958897
13085.654277666999405, -0.0045746, -0.00616407, 0.000728296, 0.707131, -0.037719, -0.70601, -0.00966588, -0.0236393, -0.0567151, 0.0280532
13085.687593933000244, -0.00583971, -0.0119497, 0.00032791, 0.711193, -0.0372272, -0.701962, -0.00820609, -0.0120812, -0.0738316, 0.0972998
13085.720910256999559, -0.0110037, -0.0142473, 0.000703515, 0.705965, -0.0380579, -0.707178, -0.00797128, 0.00340773, -0.0793737, 0.130582
13085.754226623999784, -0.0195772, -0.0117773, -0.00558992, 0.710511, -0.0440617, -0.702296, -0.00359694, -0.0193338, -0.025295, 0.0295936
13085.787542961999861, -0.0340866, 0.00183097, -0.0178589, 0.698641, -0.04731, -0.713865, -0.00771507, -0.0648233, 0.00587046, 0.0873866
13085.821009290000802, -0.0394109, 0.00442226, -0.0211788, 0.701959, -0.0487823, -0.710509, -0.00706411, -0.0649798, 0.00966069, 0.119684
13085.854325595000773, -0.0424204, 0.00260575, -0.030529, 0.702617, -0.0476012, -0.709939, -0.00707979, -0.0657666, 0.000678942, 0.151687
13085.887641966999581, -0.042743, -0.00246325, -0.0328937, 0.703454, -0.0463468, -0.70921, -0.0051357, -0.0653612, -0.00236181, 0.112924
13085.920958290000272, -0.0374053, -0.0108975, -0.0266669, 0.71084, -0.0451394, -0.701904, -0.000992457, -0.0617461, -0.00354844, 0.0392837
13085.954274600000645, -0.0332811, -0.0174508, -0.0236347, 0.717042, -0.0413492, -0.695802, 0.000738593, -0.062376, -0.0253074, 0.0182255
13085.987590957000066, -0.033623, -0.0197651, -0.0287434, 0.718835, -0.0355113, -0.694272, -0.00146431, -0.0566972, -0.0155809, 0.0344964
13086.020907289999741, -0.0352517, -0.0194237, -0.0334268, 0.717887, -0.0340603, -0.695324, -0.00192582, -0.0488348, -4.28974e-05, 0.0441024
13086.05422362399986, -0.0359569, -0.0192923, -0.0340303, 0.717731, -0.0317208, -0.695593, -0.00255011, -0.0407477, -0.0145027, 0.0387228
13086.087539927999387, -0.0366041, -0.0193622, -0.0348308, 0.718307, -0.0265534, -0.695198, -0.00545454, -0.0431176, -0.0172442, 0.019572
13086.120856294999612, -0.037645, -0.0187734, -0.0360796, 0.720528, -0.022221, -0.69302, -0.00829108, -0.0452374, -0.00698558, 0.00711919
13086.154322628000955, -0.0377792, -0.0191213, -0.0352869, 0.723982, -0.0173564, -0.689505, -0.0114833, -0.0411183, -0.0125411, 0.0117193
13086.187638957000672, -0.0353601, -0.0216911, -0.0355266, 0.728723, -0.0110241, -0.684568, -0.0143749, -0.0445273, -0.0113259, -0.00890537
13086.220955295000749, -0.0307428, -0.0279203, -0.0319171, 0.734462, -0.00148281, -0.678448, -0.0164739, -0.0363684, -0.0223263, -0.00587587
13086.254271589999917, -0.0306068, -0.0284386, -0.0330577, 0.737244, 0.0026417, -0.675373, -0.0183128, -0.0305812, 0.00115216, 0.0113708
13086.287587927999994, -0.03066, -0.0282991, -0.0318048, 0.740065, 0.00571757, -0.672251, -0.0187024, -0.0333563, -0.0145291, 0.00115416
13086.320904295000219, -0.0294337, -0.0295627, -0.0311347, 0.742761, 0.00951744, -0.669183, -0.0202235, -0.0366863, -0.0156182, -0.0174364
13086.354220623999936, -0.0269935, -0.0316484, -0.0324096, 0.746311, 0.0161308, -0.665022, -0.0224797, -0.0452815, -0.0413802, -0.0302497
13086.387536927999463, -0.0237986, -0.0354204, -0.0318946, 0.750062, 0.0251734, -0.660307, -0.0277031, -0.0363514, -0.0400502, -0.0186847
13086.420853261999582, -0.0194757, -0.0405977, -0.0305969, 0.754831, 0.03143, -0.654523, -0.0290168, -0.0342233, -0.0385162, -0.0389732
