time, bias_gyr_x, bias_gyr_y, bias_gyr_z, bias_acc_x, bias_acc_y, bias_acc_z
-1, 0, 0, 0, 0, 0, 0
1932.1686501590002081, 0, 0, 0, 0, 0, 0
1932.2019665250002163, 0.0145438, -0.00353023, 0.00725709, -9.25127e-08, 3.00575e-07, 1.51755e-06
1932.2352828300001875, 0.00970382, -0.00415839, 0.0015452, -0.000901745, 0.000120251, 0.000422141
1932.2685991640000793, 0.00576367, -0.0109634, -0.0014941, 0.0050256, 0.000245705, 0.000163643
1932.3019154680002885, 0.00368549, -0.0123726, -0.00105304, 0.0140306, -0.000122523, -0.00057171
1932.3352318590002596, 0.0023263, -0.0101377, 0.00025118, 0.000425886, 7.66011e-05, 0.000133169
1932.3685481640002308, 0.00193843, -0.00755625, 0.000356877, -0.0171818, 0.000278044, 0.000960759
1932.4018644970001333, 0.000821809, -0.00610797, -0.00065865, -0.0262736, 0.000401823, 0.0013929
1932.4353308300001117, 0.000656648, -0.00398438, -0.00130688, -0.0376043, 0.000536611, 0.00194623
1932.4686471920001622, -0.000354245, -0.00292572, -0.00185043, -0.043375, 0.000532101, 0.00217391
1932.5019634920001863, -0.00173755, -0.00180996, -0.00236402, -0.0417466, 0.000547457, 0.00206001
1932.5352798590001839, -0.00320957, -0.000973273, -0.00277785, -0.0526329, 0.000439781, 0.00247535
1932.568596159000208, -0.00457237, -0.00107502, -0.00303917, -0.0450998, 0.000645487, 0.00219397
1932.6019124970002849, -0.00529019, -0.000934006, -0.0038737, -0.0600783, 0.000350264, 0.00259042
1932.6352289730002667, -0.00683156, -0.00169354, -0.00402889, -0.0801179, -0.000223798, 0.00308406
1932.6685451920002379, -0.0080985, -0.00271552, -0.00424792, -0.0750658, 0.000155853, 0.00235494
1932.7018619490002038, -0.00784636, -0.00363645, -0.00394745, -0.0674072, 0.000623351, 0.00148545
1932.7351778590002596, -0.0076965, -0.0042526, -0.00337862, -0.0510795, 0.00147904, 0.000182328
1932.7684942060002413, -0.00732176, -0.00438393, -0.00343025, -0.0334806, 0.00253281, -0.00150448
1932.8019605250001405, -0.00731568, -0.00410585, -0.00338876, -0.0191798, 0.00343102, -0.00372676
1932.8352768250001645, -0.00721022, -0.00387418, -0.00327048, -0.014367, 0.0038856, -0.00495967
