time, bias_gyr_x, bias_gyr_y, bias_gyr_z, bias_acc_x, bias_acc_y, bias_acc_z
-1, 0, 0, 0, 0, 0, 0
2792.8645322910001596, 0, 0, 0, 0, 0, 0
2792.8978486569999404, -0.00400279, 0.00177361, -0.00169715, 4.95283e-06, 9.22105e-06, -2.61533e-05
2792.9311649900000702, -0.00286475, -0.00305797, -0.000498449, 0.00206713, 0.000174975, 0.000378269
2792.9644812950000414, -0.00281976, -0.00237719, -0.000822484, -0.000200051, -7.56587e-06, -0.000108634
2792.9977975950000655, -0.00306988, -0.00152192, -0.000885976, -0.000449725, -6.21437e-05, -0.000109473
2793.0311139619998357, -0.00302341, -0.00169831, -0.00126286, 0.00126541, -9.77037e-06, 0.000112668
2793.0644302949999656, -0.00319653, -0.00169547, -0.0012336, 0.000802352, -4.99273e-06, -4.27666e-05
2793.0977465999999367, -0.0028238, -0.00237617, -0.00116174, 0.00325464, 9.43437e-05, -4.70593e-05
2793.1310629620002146, -0.00250905, -0.00254978, -0.0011631, 0.00120102, 4.9529e-05, -3.30958e-05
2793.1643793240000377, -0.00253157, -0.00230527, -0.00115193, -0.000212442, -2.78447e-05, -2.01996e-05
2793.1978458140001749, -0.00258629, -0.0023548, -0.00116354, 0.00236314, 2.49821e-05, -6.43801e-05
2793.2311619619999874, -0.00256949, -0.0023987, -0.00117809, 0.00181354, 2.8892e-05, -2.46043e-05
2793.2644782900001701, -0.00266747, -0.00217774, -0.00112574, 0.000324515, -1.24864e-05, -1.05609e-05
2793.297795029000099, -0.00273459, -0.00226558, -0.00111007, 0.00286477, 5.25143e-05, -6.81937e-05
2793.3311109569999644, -0.00270809, -0.00228671, -0.00110941, 0.0018641, 4.38712e-05, -2.27296e-05
2793.3644272950000413, -0.00273852, -0.00214551, -0.00106306, 0.000403726, 6.40501e-06, -3.49247e-05
2793.3977436240002135, -0.0027443, -0.00206351, -0.00102741, 0.00181884, 3.4682e-05, -4.75626e-05
2793.4310599619998357, -0.00276403, -0.00203202, -0.00100145, 0.00215311, 4.24263e-05, -6.21125e-05
2793.4643762900000183, -0.00272643, -0.00211362, -0.000992908, 0.00361038, 7.7714e-05, -8.64434e-05
2793.4976926240001376, -0.00272627, -0.00217888, -0.000989329, 0.00276144, 4.90743e-05, -5.65045e-05
2793.5311589620000632, -0.00276589, -0.00226552, -0.000979698, 0.00261908, 3.66715e-05, -5.81799e-05
2793.5644753239998863, -0.00277229, -0.0023969, -0.000981041, 0.00341151, 7.22534e-05, -6.44406e-05
2793.5977916570000161, -0.00277705, -0.00245337, -0.000958636, 0.00166525, 3.64551e-05, -3.53046e-05
2793.6311079279998921, -0.00277996, -0.00249716, -0.000956395, 0.00260064, 4.84222e-05, -6.36599e-05
2793.6644242950001171, -0.00287783, -0.00265155, -0.000931551, 0.00512612, 7.48059e-05, -0.000101377
2793.6977406569999403, -0.00326982, -0.00284499, -0.000917081, 0.00557844, 2.12271e-05, -0.000192557
2793.7310569619999114, -0.00344306, -0.0028362, -0.000924471, -0.000840251, -1.14907e-05, -4.279e-06
2793.7643733240001893, -0.00352572, -0.0029161, -0.00099153, 0.00363105, 4.10883e-05, -0.000132095
2793.7976896569998644, -0.00358297, -0.00300002, -0.00103422, 0.00235406, 2.4642e-05, -6.98372e-05
2793.8310059330001422, -0.00357159, -0.00300744, -0.00118766, 0.000907892, 3.7284e-05, -7.8373e-05
2793.8643223240001134, -0.0035718, -0.00300978, -0.00116825, 0.00296652, 7.48988e-05, -6.32301e-05
2793.8977886570000919, -0.00354948, -0.00308093, -0.00127728, 0.00470279, 0.00010262, -9.77195e-05
2793.9311049620000631, -0.00353396, -0.00301981, -0.00126196, 0.000948485, 2.61849e-05, -2.16898e-05
2793.964421289999791, -0.00350235, -0.00309756, -0.00126911, 0.00582233, 0.0001315, -9.82801e-05
2793.9977376239999103, -0.00350024, -0.00319891, -0.00130972, 0.00322687, 4.90809e-05, -6.95887e-05
2794.0310539329998392, -0.00347479, -0.00323673, -0.00134761, 0.00243808, 4.77936e-05, -5.94277e-05
2794.064370295000117, -0.00346379, -0.00327471, -0.00136462, 0.00313922, 5.41392e-05, -5.78103e-05
2794.0976866279997921, -0.00348513, -0.00337497, -0.00138208, 0.00434196, 8.26617e-05, -7.69504e-05
2794.1310034470002392, -0.00347987, -0.00350701, -0.00143071, 0.00426187, 9.18087e-05, -8.48845e-05
