time, px, py, pz, qw, qx, qy, qz, vx, vy, vz
-1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
-1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
193417.70785363402683, -1.4091e-05, -4.07479e-06, 8.79748e-05, 0.732708, 0.0368492, -0.679544, -0.000281339, 0.00787119, -0.000247948, 0.00286587
193417.74116994402721, -0.000554351, 2.69644e-05, 0.000581874, 0.728837, 0.0330948, -0.683887, -0.000310457, 0.0214851, -0.00576559, 0.0180831
193417.77448630600702, -0.000569208, 0.000822981, 0.00143636, 0.730551, 0.0268188, -0.682331, 0.000874203, 0.0374037, 0.000458971, 0.0122008
193417.80780263902852, -0.00305535, 0.0049021, 0.00169593, 0.715446, -7.68568e-05, -0.69837, 0.0204035, 0.0363684, 0.0838159, 0.0618328
193417.8412689390243, -0.00583158, 0.00800865, 0.00230942, 0.716105, -0.019928, -0.696742, 0.0366915, 0.0366593, 0.151354, 0.078152
193417.87458530600998, -0.00600505, 0.00515978, 0.00493826, 0.738614, -0.028224, -0.671816, 0.0481194, 0.0340845, 0.176437, 0.0101502
193417.90790163900238, -0.0051719, -0.00215537, 0.00665698, 0.747473, 0.000151951, -0.663697, 0.0281296, 0.0178518, 0.073524, -0.0284056
193417.94121797202388, -0.0025271, -0.00498929, 0.0056104, 0.743562, 0.0176533, -0.668308, 0.0129916, 0.0123027, 0.0250695, -0.0267344
193417.97453427201253, -0.00130369, 0.00259257, 0.00887138, 0.744886, 0.0049495, -0.666633, 0.0268403, 0.0245517, 0.136624, -0.0393706
193418.00785060602357, -0.00129437, 0.000118493, 0.0108433, 0.73867, 0.0169268, -0.673511, 0.0215274, 0.0415504, 0.0785594, -0.0298881
193418.04116694402182, -0.00213263, -0.00298302, 0.0148474, 0.730731, 0.0206612, -0.682134, 0.0172697, 0.0543105, 0.0653503, 0.00167837
193418.07448330102488, -0.00272647, -0.0024528, 0.0185341, 0.726292, 0.0186217, -0.686715, 0.0239818, 0.0681796, 0.103656, 0.0140449
193418.10779961501248, -0.000978675, -0.000861279, 0.0172769, 0.722615, 0.0243458, -0.69046, 0.0223588, 0.081265, 0.0611685, -0.00807291
193418.14111593400594, 0.00243864, 0.00411595, 0.0219047, 0.725733, 0.024988, -0.687208, 0.0208125, 0.0729349, 0.0691545, -0.0587201
193418.17443230602657, 0.011026, 0.00424947, 0.0229525, 0.73151, 0.0263646, -0.681026, 0.0200626, 0.081932, 0.0385826, -0.124109
193418.2078986390261, 0.0187104, 0.000648021, 0.0211758, 0.7325, 0.0274459, -0.680083, 0.0133562, 0.07284, 0.00316226, -0.14752
193418.24121494402061, 0.0210061, 0.0021234, 0.0219255, 0.732307, 0.0264799, -0.680379, 0.0104575, 0.0732202, 0.0153338, -0.129473
193418.27453130602953, 0.0223162, 0.00157831, 0.0229345, 0.72959, 0.0271813, -0.683313, 0.00657486, 0.0817456, -0.00377117, -0.109752
193418.30784763902193, 0.0200087, 0.00755285, 0.022593, 0.726166, 0.0249258, -0.687057, 0.00361742, 0.0728845, 0.0103942, -0.0803063
193418.34116397201433, 0.0175243, 0.0132727, 0.0220722, 0.723247, 0.0238425, -0.690173, 0.00249883, 0.0569572, 0.0244294, -0.0559819
193418.37448031501845, 0.0175838, 0.0213255, 0.0221243, 0.722117, 0.0217021, -0.69143, -0.00032542, 0.0241661, 0.0256693, -0.0530902
193418.40779661000124, 0.0177873, 0.0240585, 0.0172617, 0.721847, 0.0188109, -0.691795, -0.00167757, -0.0180981, 0.0229494, -0.0360144
193418.44111294401227, 0.0175665, 0.0221272, 0.0154852, 0.724099, 0.0176999, -0.689468, 0.00114851, -0.0445673, 0.0394904, -0.00652081
193418.47442924801726, 0.0190582, 0.0249833, 0.0167496, 0.725926, 0.0179796, -0.687526, 0.00396124, -0.0313825, 0.0129084, -0.0153674
193418.50774563901359, 0.0212256, 0.0261169, 0.016448, 0.727416, 0.0159492, -0.686001, 0.00364678, -0.0458542, 0.0178822, -0.0262584
193418.54121197201312, 0.0218025, 0.0251406, 0.0169762, 0.7307, 0.016429, -0.682484, 0.00477129, -0.0665422, 0.0027809, -0.0365356
193418.57452827200177, 0.0233421, 0.0226815, 0.0185119, 0.734587, 0.0146786, -0.678352, 0.00224552, -0.0648647, -0.0203362, -0.0472181
193418.60784485802287, 0.0271611, 0.0254839, 0.00964663, 0.738031, 0.0127631, -0.674641, 0.0025799, -0.0975746, 0.00813227, -0.044311
193418.64116097200895, 0.0310767, 0.0267734, 0.0124967, 0.743072, 0.0127287, -0.66907, 0.00516801, -0.101873, -0.0138294, -0.0604306
193418.67447727202671, 0.0346825, 0.0256709, 0.0138378, 0.747004, 0.01019, -0.664719, 0.00549599, -0.101949, -0.0328811, -0.0751504
193418.70779361002496, 0.038386, 0.0230367, 0.00874539, 0.751146, 0.00897868, -0.660012, 0.00914381, -0.115595, -0.0171848, -0.0692759
193418.74110994400689, 0.0406599, 0.0246233, 0.00671659, 0.752795, 0.0066628, -0.658095, 0.0128947, -0.103427, -0.033606, -0.0722588
193418.77442627202254, 0.044771, 0.0242025, 0.00355074, 0.753744, 0.00453641, -0.656949, 0.0163646, -0.102264, -0.0394811, -0.0803025
193418.80774263900821, 0.0479615, 0.0263725, 0.00651396, 0.755667, 0.00272771, -0.654672, 0.019094, -0.104957, -0.0527698, -0.0980462
