time, px, py, pz, qw, qx, qy, qz
-1, 0.0151155, -0.00815406, -0.0110363, -0.000383946, 0.707789, -0.706423, 0.00119798
-1, 0.0151155, -0.00815406, -0.0110363, -0.000383946, 0.707789, -0.706423, 0.00119798
193417.70785363402683, 0.0151155, -0.00815406, -0.0110363, -0.000383946, 0.707789, -0.706423, 0.00119798
193417.74116994402721, 0.0151155, -0.00815406, -0.0110363, -0.000383946, 0.707789, -0.706423, 0.00119798
193417.77448630600702, 0.0151155, -0.00815406, -0.0110363, -0.000383946, 0.707789, -0.706423, 0.00119798
193417.80780263902852, 0.0151155, -0.00815406, -0.0110363, -0.000383946, 0.707789, -0.706423, 0.00119798
193417.8412689390243, 0.0151155, -0.00815406, -0.0110363, -0.000383946, 0.707789, -0.706423, 0.00119798
193417.87458530600998, 0.0151155, -0.00815406, -0.0110363, -0.000383945, 0.707789, -0.706423, 0.00119798
193417.90790163900238, 0.0151155, -0.00815406, -0.0110363, -0.000383945, 0.707789, -0.706423, 0.00119798
193417.94121797202388, 0.0151155, -0.00815406, -0.0110363, -0.000383945, 0.707789, -0.706423, 0.00119798
193417.97453427201253, 0.0151155, -0.00815406, -0.0110363, -0.000383945, 0.707789, -0.706423, 0.00119798
193418.00785060602357, 0.0151155, -0.00815406, -0.0110363, -0.000383945, 0.707789, -0.706423, 0.00119798
193418.04116694402182, 0.0151155, -0.00815406, -0.0110363, -0.000383945, 0.707789, -0.706423, 0.00119798
193418.07448330102488, 0.0151155, -0.00815406, -0.0110363, -0.000383945, 0.707789, -0.706423, 0.00119798
193418.10779961501248, 0.0151155, -0.00815406, -0.0110363, -0.000383945, 0.707789, -0.706423, 0.00119798
193418.14111593400594, 0.0151155, -0.00815406, -0.0110363, -0.000383945, 0.707789, -0.706423, 0.00119798
193418.17443230602657, 0.0151155, -0.00815406, -0.0110363, -0.000383945, 0.707789, -0.706423, 0.00119798
193418.2078986390261, 0.0151155, -0.00815406, -0.0110363, -0.000383945, 0.707789, -0.706423, 0.00119798
193418.24121494402061, 0.0151155, -0.00815406, -0.0110363, -0.000383945, 0.707789, -0.706423, 0.00119798
193418.27453130602953, 0.0151155, -0.00815406, -0.0110363, -0.000383945, 0.707789, -0.706423, 0.00119798
193418.30784763902193, 0.0151155, -0.00815406, -0.0110363, -0.000383945, 0.707789, -0.706423, 0.00119798
193418.34116397201433, 0.0151155, -0.00815406, -0.0110363, -0.000383945, 0.707789, -0.706423, 0.00119798
193418.37448031501845, 0.0151155, -0.00815406, -0.0110363, -0.000383945, 0.707789, -0.706423, 0.00119798
193418.40779661000124, 0.0151155, -0.00815406, -0.0110363, -0.000383945, 0.707789, -0.706423, 0.00119798
193418.44111294401227, 0.0151155, -0.00815406, -0.0110363, -0.000383945, 0.707789, -0.706423, 0.00119798
193418.47442924801726, 0.0151155, -0.00815406, -0.0110363, -0.000383945, 0.707789, -0.706423, 0.00119798
