time, bias_gyr_x, bias_gyr_y, bias_gyr_z, bias_acc_x, bias_acc_y, bias_acc_z
-1, 0, 0, 0, 0, 0, 0
-1, 0, 0, 0, 0, 0, 0
193769.77394906300469, 0, 0, 0, 0, 0, 0
193769.8072653960262, -0.00928193, -0.0176545, -0.00349772, 0.000171613, 1.80539e-06, -0.000237746
193769.84058169100899, -0.0079914, -0.0122693, 0.0150377, -0.00219062, 0.000207825, 0.000402358
193769.87389802900725, -0.000434783, -0.0195292, 0.0230682, 0.00959933, 0.000675404, 0.000687442
193769.90721439101617, 0.00101675, -0.0196385, 0.0245051, 0.0119997, -0.000108225, 0.000801622
193769.94053069601068, -0.00221636, -0.0146106, 0.0176802, -0.00463389, -0.000780444, 4.85513e-05
193769.97384747202159, -0.00292947, -0.0146903, 0.0143673, 0.00184804, -0.000378715, 0.000676975
193770.007163391012, -0.00230128, -0.0149616, 0.0136565, 0.00631392, -1.90411e-05, 0.00130234
193770.04047972901026, -0.00191889, -0.0123981, 0.0134561, -0.0311408, -3.43963e-05, -0.00207793
193770.07394606302842, -0.00145202, -0.0120845, 0.0105964, -0.0951712, 0.000242494, -0.00885083
193770.10726239101496, 9.41364e-05, -0.011291, 0.00959921, -0.131362, 0.000240426, -0.0135751
193770.14057872901321, -0.00194514, -0.01088, 0.00850643, -0.135225, 3.54024e-05, -0.0143827
193770.17389552001259, -0.00140512, -0.0116817, 0.00688379, -0.0892274, 0.00104424, -0.00781756
193770.20721180600231, 0.000503592, -0.0124847, 0.0047756, -0.0298139, 0.00281974, 0.000353667
193770.24052770101116, -0.00065477, -0.0121034, 0.00141079, -0.000593031, 0.00361613, 0.00197844
193770.27384405801422, -0.0014223, -0.0117681, 0.000324943, 0.011079, 0.00406578, 0.00184344
193770.30716036702506, -0.0018337, -0.0106249, 0.00251726, -0.0178025, 0.00240492, 0.0019229
193770.34047672501765, -0.00106482, -0.00904563, 0.000493045, -0.0292131, 0.000634528, 0.00226934
193770.37379305801005, -0.000622972, -0.0103258, 0.00167989, -0.0412475, -0.000456692, 0.00341139
193770.40710936702089, -0.00149205, -0.0134203, 0.00490819, -0.0438695, -0.0010326, 0.00428102
193770.44057569102733, -0.00231763, -0.0154452, 0.00624674, -0.0295337, 0.000418976, -0.00160967
193770.47389203400235, -0.00265886, -0.0152443, 0.00548791, -0.0120549, 0.00260057, -0.0111908
193770.50720839601126, -0.00414241, -0.0148531, 0.00559723, -0.00230516, 0.00474381, -0.0207755
193770.54052472501644, -0.00414275, -0.0153816, 0.00586813, 0.000934781, 0.00563948, -0.0246838
193770.5738410630147, -0.00525897, -0.0160818, 0.00546052, 0.0128519, 0.00931667, -0.0393678
193770.60715739100124, -0.00587253, -0.0174115, 0.00598746, 0.0189361, 0.0116042, -0.0476071
193770.6404737290286, -0.00637466, -0.017452, 0.00617963, 0.0284533, 0.0154288, -0.062928
193770.67379006301053, -0.00596191, -0.0185348, 0.00737104, 0.0330718, 0.0174849, -0.0736506
193770.70710639102617, -0.0052413, -0.0198063, 0.00926693, 0.0325709, 0.0172329, -0.0781247
193770.74042270102655, -0.00702353, -0.0191673, 0.00915535, 0.0247178, 0.0109703, -0.0657364
193770.77388905800763, -0.00861219, -0.0184122, 0.0087345, 0.0254, 0.0102648, -0.0641061
193770.80720539102913, -0.00680233, -0.0186284, 0.0102052, 0.0250468, 0.011013, -0.0701205
193770.84052172902739, -0.00798687, -0.0200266, 0.010285, 0.0308111, 0.0129123, -0.071065
193770.87383805800346, -0.0084619, -0.018388, 0.00955878, 0.0242637, 0.00913948, -0.0645689
193770.90715439600172, -0.00776713, -0.0158718, 0.00919072, 0.0154456, -0.000637619, -0.0624248
193770.94047070102533, -0.00817958, -0.0142784, 0.00734765, 0.0144119, -0.00155499, -0.0509245
193770.97378702901187, -0.00813421, -0.0124571, 0.0061318, 0.0121379, -0.00565808, -0.0457368
