time, bias_gyr_x, bias_gyr_y, bias_gyr_z, bias_acc_x, bias_acc_y, bias_acc_z
-1, 0, 0, 0, 0, 0, 0
1159.055937983000149, 0, 0, 0, 0, 0, 0
1159.0892651460001161, -0.00339555, -0.0057629, -0.00184256, -1.77275e-06, -3.79937e-06, 2.01746e-06
1159.1225922780001838, -0.00220361, 0.00319997, -0.00309009, -0.00342734, 0.000122607, -3.85357e-05
1159.1559194680000928, 0.00113381, 0.00474053, -0.00186384, -0.0039306, 0.000503168, 0.0003782
1159.1893966780000937, 0.00255432, 0.00603515, -0.000898131, 0.00445142, -0.000112919, 0.000902171
1159.2227238390000821, 0.000512496, 0.00480602, -0.000476854, 0.0350036, 0.000557349, 0.00268095
1159.2560509720001392, -0.0019837, 0.00239591, -0.000676678, 0.0851195, 0.00151012, 0.0059674
1159.2893781330001275, -0.00364075, -0.000488886, -0.000602052, 0.135435, 0.00228657, 0.00950438
1159.3227052940001158, -0.00291798, -0.00242166, -0.00061184, 0.140366, 0.00242523, 0.00988672
1159.3560324220002258, -0.00293181, -0.00249413, -0.00102431, 0.108133, 0.00246016, 0.00762019
1159.3893596450002406, -0.00268725, -0.00303044, -0.00116171, 0.091893, 0.00253171, 0.00652043
1159.4226867770000808, -0.00256135, -0.0036401, -0.0013005, 0.0811191, 0.00256415, 0.00579759
1159.4560139340001115, -0.00232086, -0.00363135, -0.00130959, 0.0653642, 0.00260028, 0.00469524
1159.4893411330001527, -0.00241877, -0.00367882, -0.00134195, 0.0580423, 0.00259795, 0.00414247
1159.5228183380002065, -0.00248435, -0.00389577, -0.00138349, 0.0599725, 0.00259108, 0.00434277
1159.5561454710000362, -0.0024327, -0.00406698, -0.00135873, 0.0601326, 0.00259808, 0.00435022
1159.5894726270000774, -0.00253406, -0.00389685, -0.00136008, 0.0531658, 0.0025865, 0.00351401
1159.6227997930002402, -0.00244351, -0.00376913, -0.00138293, 0.0502084, 0.00258398, 0.00310147
1159.6561269830001493, -0.0025229, -0.00373847, -0.00141598, 0.0516055, 0.00258661, 0.0033292
1159.6894541440001376, -0.00246672, -0.00384634, -0.00146464, 0.0572782, 0.00257168, 0.00442694
1159.7227812720002476, -0.00238186, -0.00381396, -0.00147095, 0.0556815, 0.00258048, 0.00407268
1159.7561084370001936, -0.00217168, -0.00355615, -0.00152317, 0.0515077, 0.0026283, 0.003009
1159.7894356270001026, -0.00184474, -0.00338908, -0.00150988, 0.0495197, 0.00265929, 0.00245135
1159.8227627600001597, -0.00160344, -0.00322578, -0.00151853, 0.0502115, 0.0026591, 0.00267992
1159.8562399980000919, -0.00133883, -0.00313773, -0.00150029, 0.0516284, 0.00264749, 0.00316804
1159.8895671590000802, -0.00112816, -0.00301877, -0.00154881, 0.0525804, 0.00263648, 0.00347084
1159.9228943200000685, -0.00095406, -0.00291252, -0.00155053, 0.0526122, 0.0026383, 0.0034383
1159.9562214480001785, -0.000809256, -0.00291226, -0.00154608, 0.0551887, 0.00263456, 0.00416744
1159.9895485810002356, -0.000681657, -0.0029145, -0.00152531, 0.0561046, 0.00265338, 0.00434822
1160.0228711280001335, -0.000567934, -0.00289717, -0.00154117, 0.0567737, 0.00270882, 0.00425157
1160.0561869900002421, -0.000553288, -0.00289301, -0.0015711, 0.0572104, 0.00275821, 0.00421381
1160.089503385000171, -0.000582805, -0.00280153, -0.00157847, 0.0554429, 0.0029042, 0.00381645
1160.122819685000195, -0.000608182, -0.00278324, -0.00158261, 0.0557577, 0.0030059, 0.00366906
1160.1561360520001926, -0.000604507, -0.00280015, -0.00160278, 0.056475, 0.00310802, 0.00355677
1160.1896023850001711, -0.000634469, -0.00275883, -0.00162528, 0.0557438, 0.00333413, 0.00311279
1160.2229187180000736, -0.00074357, -0.00271782, -0.00165184, 0.0557937, 0.00367129, 0.00231269
1160.2562350180000976, -0.000877897, -0.00273188, -0.00163757, 0.0563471, 0.0040422, 0.00176484
1160.2895513850000953, -0.000990177, -0.0027987, -0.00162032, 0.0572814, 0.00436908, 0.00148764
1160.3228676850001193, -0.00112292, -0.00283353, -0.00157027, 0.0572577, 0.00476633, 0.00155045
1160.3561840230001962, -0.00123881, -0.00283762, -0.00151692, 0.056415, 0.00513513, 0.00178206
1160.3895003560000987, -0.00133014, -0.00286312, -0.00146301, 0.0557934, 0.00538882, 0.00205315
1160.4228167560002021, -0.00139088, -0.00286053, -0.00139775, 0.0547944, 0.00562354, 0.0022303
1160.4561330510000516, -0.00141553, -0.00285706, -0.00131638, 0.0539433, 0.00575064, 0.00262242
