time, bias_gyr_x, bias_gyr_y, bias_gyr_z, bias_acc_x, bias_acc_y, bias_acc_z
-1, 0, 0, 0, 0, 0, 0
-1, 0, 0, 0, 0, 0, 0
5634.8439791200007676, 0, 0, 0, 0, 0, 0
5634.8772954200003369, -0.0133664, 0.0171185, -0.0191936, -0.000234757, 0.000243927, 0.000312169
5634.9107617860008759, 0.0026348, -0.000310823, -0.019833, 0.0218907, 0.00836038, 0.00595443
5634.9440780580007413, 0.0105637, -0.0105109, -0.00945579, 0.0714412, 0.0215269, 0.0261451
5634.9773944200005644, 0.00395059, -0.0109977, 0.00481813, 0.0568096, 0.0157211, 0.0223354
5635.0107107860003453, -0.000208515, -0.00679618, 0.0151361, -0.00154922, -0.00355573, 0.00429244
5635.0440270910003164, -0.001007, -0.00432668, 0.0152155, -0.0356421, -0.0138763, -0.00722413
5635.0773434200009433, -0.00148786, -0.00386141, 0.012565, -0.00679524, -0.00700833, 0.00377442
5635.1106598150008722, -0.0034274, -0.00356131, 0.00886786, 0.0106256, -0.00372035, 0.0110646
5635.1439761200008434, -0.00487867, -0.00417271, 0.00607012, 0.0382931, 0.00151842, 0.0230247
5635.1772924240003704, -0.00596075, -0.00472211, 0.00408835, 0.0706532, 0.00730775, 0.0377497
5635.2106087530009972, -0.00698112, -0.00471863, 0.00349489, 0.0891602, 0.0107407, 0.0469033
5635.2440751200010709, -0.00706586, -0.0040184, 0.00483075, 0.0963215, 0.0137386, 0.0517615
5635.2773914240005979, -0.0067577, -0.00326626, 0.00597565, 0.0982697, 0.0157157, 0.0541108
5635.310707786000421, -0.00648301, -0.00266922, 0.00667585, 0.1073, 0.0173448, 0.0591972
5635.3440240910003922, -0.00573288, -0.00223517, 0.00666414, 0.115329, 0.0186412, 0.0629482
5635.377340391000871, -0.00475176, -0.00159206, 0.00558419, 0.119192, 0.0197907, 0.0644584
5635.410656758001096, -0.00369298, -0.000816649, 0.00410738, 0.129123, 0.0191135, 0.0707804
5635.4439731200009192, -0.00303504, -0.000163445, 0.00267571, 0.139258, 0.0177666, 0.0783779
5635.4772894530005942, -0.00291793, -0.00015172, 0.002073, 0.147861, 0.0160678, 0.0856608
5635.5106057860002693, -0.00287106, -0.000312759, 0.00176761, 0.158526, 0.0137607, 0.0945512
5635.5439221200003885, -0.0025678, -0.000442684, 0.00151785, 0.163727, 0.0125383, 0.0986375
5635.5772384530009731, -0.00233078, -0.00044079, 0.00157814, 0.16422, 0.0135464, 0.0983501
5635.610704767000243, -0.00215001, -0.00057204, 0.00172964, 0.161015, 0.0160313, 0.0954688
5635.6440211200006161, -0.00191721, -0.00060082, 0.00190085, 0.162433, 0.0159437, 0.0959361
5635.6773374530002911, -0.0016388, -0.000608009, 0.00191339, 0.163962, 0.0156408, 0.0968294
5635.7106537860008757, -0.00142864, -0.000549081, 0.00193556, 0.160079, 0.0209324, 0.0940799
5635.7439700910008469, -0.00130741, -0.000509695, 0.00194184, 0.158332, 0.0238245, 0.0931387
5635.7772864190010296, -0.00115672, -0.000486104, 0.00190661, 0.159626, 0.022621, 0.0933373
5635.8106027860003451, -0.000904376, -0.000349563, 0.00211173, 0.159027, 0.0246439, 0.0927455
5635.8439191190009296, -0.000878561, -0.000234025, 0.00220486, 0.157991, 0.0265584, 0.0924754
5635.8772354530010489, -0.000949633, -0.000182406, 0.00230523, 0.162595, 0.0187326, 0.0928045
5635.9105517580010201, -0.00104563, -0.00016391, 0.00247438, 0.173937, -0.00188799, 0.091706
5635.9440181190002477, -0.00115321, -0.000135922, 0.00271071, 0.186887, -0.026262, 0.0894701
5635.9773344530003669, -0.00120282, -3.73743e-05, 0.00291217, 0.193326, -0.0393064, 0.087881
5636.0106507580003381, -0.00116086, -0.000219206, 0.00304065, 0.182049, -0.0181212, 0.0947006
5636.0439670910009227, -0.00109115, -0.000282517, 0.00295195, 0.176496, -0.00665182, 0.0967687
