time, bias_gyr_x, bias_gyr_y, bias_gyr_z, bias_acc_x, bias_acc_y, bias_acc_z
-1, 0, 0, 0, 0, 0, 0
3318.8569080199999917, 0, 0, 0, 0, 0, 0
3318.8903743240002768, -0.000132114, -0.0016626, -2.54365e-05, 6.19568e-08, -7.37224e-09, -1.46508e-09
3318.9236906860001, -0.000401177, -0.00216891, -6.38742e-05, 1.45332e-05, -9.51393e-06, -5.24386e-06
3318.957006986000124, -0.000553558, -0.00225405, -0.000327275, 1.53366e-05, -1.12694e-05, -1.48525e-05
3318.990323353000349, -0.000753554, -0.00232013, -0.000248997, 8.45259e-05, -4.12948e-05, -2.91991e-05
3319.0236396860000241, -0.00085111, -0.00268146, -0.000432706, 0.000252273, 2.54789e-06, -5.32232e-05
3319.0569559860000481, -0.000670734, -0.0026942, -0.000401911, 0.000394163, 4.96547e-05, -2.30368e-05
3319.0902723240001251, -0.00101145, -0.00267779, -0.000504464, 0.000621407, -0.000140614, -0.000196363
3319.1235886530002972, -0.00155276, -0.00202765, -0.00016485, 0.00170933, 0.000165052, 0.000593236
3319.156904986000427, -0.00155031, -0.00206886, -0.000252086, 0.00211165, 0.000149528, 0.000343289
3319.1902213530001973, -0.00157001, -0.00204617, -0.000249487, 0.00290909, 0.000198007, -1.41347e-05
3319.2236876290003238, -0.00148457, -0.00207084, -0.000395027, 0.00406515, 0.000208592, -0.00018805
3319.2570039910001469, -0.00163626, -0.00199691, -0.00028026, 0.00519143, 0.000225543, -0.000383861
3319.2903203530004248, -0.00188347, -0.0019857, -0.000398413, 0.00635427, 4.9641e-05, -0.000598583
3319.323636658000396, -0.00191003, -0.00200408, -0.000434027, 0.00810575, 0.000174282, -0.000737712
3319.3569529860001239, -0.00185636, -0.002019, -0.000500191, 0.00976615, 0.000252477, -0.000835605
3319.3902693240002009, -0.00192579, -0.00195977, -0.000467761, 0.0111229, 0.000351259, -0.00101993
3319.423585686000024, -0.00178573, -0.0019556, -0.00043273, 0.0128848, 0.00043285, -0.00117377
3319.4569019860000481, -0.00179358, -0.001995, -0.000432308, 0.0156711, 0.000635372, -0.00118215
3319.4902183530002731, -0.00176224, -0.00202674, -0.000411087, 0.0179408, 0.000834976, -0.00120197
3319.5235346860004029, -0.00282838, -0.00133135, 0.000315562, 0.0249392, 0.000831596, 0.00061497
3319.5568509910003741, -0.00275765, -0.00130377, 0.000306235, 0.0261487, 0.00103721, -0.000229247
3319.5903172960001939, -0.00271095, -0.00142873, 0.000215135, 0.028924, 0.000972582, -0.000177087
3319.623633658000017, -0.00265411, -0.00150003, 0.00014909, 0.0310196, 0.000930812, -0.000444727
3319.6569500240002526, -0.00261175, -0.00160006, -1.41858e-07, 0.0325787, 0.000745791, -0.000630385
3319.690266296000118, -0.00281705, -0.00150162, -5.76816e-06, 0.0352033, 0.000409413, 0.000774732
3319.7235826860000998, -0.00283963, -0.00147419, -0.000217897, 0.0361329, -0.000136229, 0.000232393
3319.756899020000219, -0.00284441, -0.00150584, -0.000253942, 0.0371121, -0.00020051, 0.000163268
