time, px, py, pz, qw, qx, qy, qz, vx, vy, vz
-1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
-1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
24296.396045799003332, -7.95116e-07, -8.65404e-06, -1.07904e-05, 0.713381, 0.0299943, -0.700134, -1.1733e-05, -0.000245886, -0.000647816, 0.000117989
24296.429362166003557, -7.48704e-06, -3.74616e-05, -1.36912e-05, 0.713253, 0.0300845, -0.700261, -7.42621e-05, -0.000280447, -0.000811119, 0.000531449
24296.462678471001709, -6.70831e-05, -8.25777e-06, -3.34817e-05, 0.712908, 0.0294266, -0.700639, 0.000594807, -0.000576084, 0.000594816, 0.00204261
24296.495994832002907, 2.3956e-05, 4.88191e-05, -4.83996e-05, 0.713866, 0.029217, -0.699672, 0.00073117, -0.000629276, 0.00141493, -0.000450201
24296.529311132002476, -0.000123621, -3.97292e-05, -8.20955e-05, 0.713302, 0.0296887, -0.700227, 0.000321177, -0.000845256, -0.000646384, 0.00130438
24296.562627437004267, -0.000203952, -5.74024e-05, -0.000138982, 0.713209, 0.0296757, -0.700323, 0.000345204, -0.00161829, -0.00063424, 0.00179298
24296.595943804004492, -8.22262e-05, -2.70982e-05, -0.000201978, 0.713504, 0.0295966, -0.700026, 0.000408298, -0.00112474, -0.000327912, 0.000410756
24296.629260137004167, 2.11932e-06, 7.65213e-06, -0.000249197, 0.713632, 0.0295282, -0.699898, 0.00045225, -0.00207115, -2.85315e-05, 4.17689e-05
24296.662726471004135, -0.000241101, -1.48163e-05, -0.000249682, 0.713413, 0.0295316, -0.700121, 0.000444495, -0.00123918, -0.000168806, 0.00145383
24296.696042832001694, 7.8939e-05, 0.000128719, -0.000320657, 0.713676, 0.029421, -0.699858, 0.000537756, -0.00173566, 0.000643466, -0.000542133
24296.729359132004902, 9.50045e-05, 0.000237662, -0.000279671, 0.713696, 0.0293656, -0.69984, 0.000574582, -0.000827943, 0.00148955, -0.00033064
24296.762675499001489, -0.000170202, 0.00023382, -0.000222872, 0.713569, 0.0293831, -0.699969, 0.000535916, -0.000469594, 0.00156747, 0.00118839
24296.795991832004802, -0.00019154, 0.000378449, -0.000162477, 0.713584, 0.0293233, -0.699955, 0.000552179, -0.000201904, 0.0023713, 0.0010708
24296.829308132004371, 1.1483e-05, 0.000335981, -0.000304261, 0.713639, 0.029401, -0.699896, 0.000502947, -0.000425169, 0.00190276, 0.000126316
24296.862624471003073, 0.000144488, 0.000417668, -0.000443286, 0.713664, 0.0293763, -0.699872, 0.000496406, -0.00122658, 0.00200233, -0.000101746
24296.895940804002748, 0.000195088, 9.63356e-05, -0.000511233, 0.713667, 0.0295481, -0.699861, 0.000420317, -0.00093785, 0.000146723, -0.000306125
24296.929257194002275, 0.000303917, 0.000187029, -0.00055749, 0.713691, 0.0294909, -0.699839, 0.000431136, -0.0011914, 0.000656685, -0.00051697
24296.962573471002543, 0.000262024, 0.000282058, -0.000383579, 0.713709, 0.0294587, -0.699822, 0.000433925, 0.000333741, 0.000836629, -0.000312705
24296.996039832003589, 8.12402e-05, 0.000532019, -0.000337819, 0.713673, 0.0293672, -0.699863, 0.000470357, -0.000117226, 0.00197153, 0.000501689
24297.029356161001488, 9.77033e-05, 0.000331423, -0.000386396, 0.713672, 0.029455, -0.699861, 0.000436408, 0.000221989, 0.00138888, 0.000145111
24297.062672499003384, 2.56107e-06, 0.000559096, -0.000288161, 0.713669, 0.0293636, -0.699868, 0.000459521, 0.000328489, 0.00211139, 0.000295263
24297.095988823002699, -0.00019245, 0.000637123, -0.000178096, 0.713666, 0.0293421, -0.699871, 0.000461793, 0.000821001, 0.00222064, 0.00076418
24297.129305166003178, -0.000175193, 0.000551857, -0.000290055, 0.713643, 0.0294045, -0.699892, 0.000464842, 5.2396e-05, 0.00143121, 0.000563581
24297.162621470004524, -0.0003646, 0.000236221, -0.000131994, 0.713648, 0.0294996, -0.699883, 0.000430966, 0.00041791, 0.000208176, 0.0011132
24297.195937799002422, -0.000389329, 0.000381671, 3.52973e-05, 0.713676, 0.02947, -0.699855, 0.000422111, 0.000754333, 0.00105546, 0.00132063
24297.229254166002647, -0.000383757, 0.000269701, 6.45577e-05, 0.713677, 0.0295087, -0.699853, 0.000410347, 0.000509427, 0.00068822, 0.00127224
24297.262570499002322, -0.000341097, 0.000407096, -3.00063e-05, 0.713671, 0.0294753, -0.69986, 0.000408635, 0.000198229, 0.000856186, 0.00117379
24297.295886832001997, -0.000407293, 0.000348886, 5.88304e-05, 0.713693, 0.029489, -0.699837, 0.000405294, 0.000323882, 0.00108891, 0.00141394
24297.329353137003636, -0.000422046, 0.000622604, 0.000218193, 0.713716, 0.0294015, -0.699817, 0.000421266, 0.000963661, 0.00187789, 0.00123611
24297.36266949900164, -0.000434381, 0.000670247, 0.000377851, 0.713743, 0.0293851, -0.699791, 0.000432429, 0.00131215, 0.00216183, 0.00102832
24297.395985832001315, -0.000270288, 0.000632059, 0.000540338, 0.713783, 0.0294166, -0.699748, 0.000432827, 0.00186034, 0.00220666, 0.000452234
24297.429302137003106, -0.000347153, 0.000628455, 0.000440555, 0.713753, 0.0294286, -0.699778, 0.000425538, 0.00144031, 0.00186429, 0.000546418
24297.462618466004642, -0.000266321, 0.000722484, 0.000326505, 0.713742, 0.0294119, -0.699791, 0.000412638, 0.00110189, 0.00213222, 0.000344055
