time, bias_gyr_x, bias_gyr_y, bias_gyr_z, bias_acc_x, bias_acc_y, bias_acc_z
-1, 0, 0, 0, 0, 0, 0
-1, 0, 0, 0, 0, 0, 0
24296.396045799003332, 0, 0, 0, 0, 0, 0
24296.429362166003557, -0.00131325, -0.000268484, -0.00153815, 3.63773e-06, 6.35885e-06, -8.83534e-06
24296.462678471001709, -0.00147815, 0.000150884, -0.00117876, -5.38553e-05, -4.39782e-05, -3.3937e-05
24296.495994832002907, -0.00127102, -0.00109634, -0.000942953, 0.000390382, -3.54065e-05, 4.23846e-05
24296.529311132002476, -0.00151613, -0.00169755, -0.00063177, 0.000775629, 1.03945e-05, 7.82367e-06
24296.562627437004267, -0.00145636, -0.00219381, -0.000633865, 0.00155177, 4.15642e-05, 1.4813e-05
24296.595943804004492, -0.00143422, -0.00247754, -0.000694256, 0.00211134, 5.97923e-05, 4.5921e-05
24296.629260137004167, -0.00137278, -0.00245154, -0.000783837, 0.00200163, 5.20461e-05, 5.3598e-05
24296.662726471004135, -0.00141733, -0.00239597, -0.00091197, 0.000959188, 9.44335e-06, 1.90351e-05
24296.696042832001694, -0.00140703, -0.00234795, -0.000794172, 0.00122337, 1.30067e-05, 4.37625e-05
24296.729359132004902, -0.00140118, -0.00221487, -0.0007762, 9.60667e-05, -3.75782e-05, 2.40535e-05
24296.762675499001489, -0.00146741, -0.00223812, -0.000836491, -0.000822981, -7.40126e-05, -2.51967e-06
24296.795991832004802, -0.0014239, -0.00216838, -0.00085792, -0.00150854, -0.000105046, -1.4291e-05
24296.829308132004371, -0.00143796, -0.00216926, -0.000850147, -0.000387149, -5.46064e-05, 1.27223e-05
24296.862624471003073, -0.00145746, -0.00221113, -0.000848667, 0.000662749, -1.17636e-05, 3.54446e-05
24296.895940804002748, -0.001572, -0.00226257, -0.000807479, 0.000914295, 6.86013e-06, 4.10335e-05
24296.929257194002275, -0.00159197, -0.00222163, -0.000815931, 0.000951099, 6.88553e-06, 4.34467e-05
24296.962573471002543, -0.0015473, -0.00221988, -0.000787119, -0.000197915, -4.17145e-05, 2.0895e-05
24296.996039832003589, -0.00154607, -0.00221973, -0.000862297, -0.000419428, -5.46551e-05, 1.40212e-05
24297.029356161001488, -0.00162497, -0.00223678, -0.000846845, -0.000101849, -3.77229e-05, 2.05452e-05
24297.062672499003384, -0.00161051, -0.00223805, -0.000906728, -0.000528184, -5.76986e-05, 1.125e-05
24297.095988823002699, -0.00162536, -0.00224637, -0.000945766, -0.000872043, -7.20865e-05, 2.55854e-06
24297.129305166003178, -0.00167822, -0.0022519, -0.000874764, -0.000340109, -4.88574e-05, 1.33308e-05
24297.162621470004524, -0.00178997, -0.00226107, -0.000808022, -0.000890594, -6.81947e-05, 1.09693e-06
24297.195937799002422, -0.00173364, -0.00221897, -0.000853162, -0.001526, -9.49978e-05, -1.11815e-05
24297.229254166002647, -0.00175162, -0.002211, -0.000879181, -0.00153621, -9.37417e-05, -1.0873e-05
24297.262570499002322, -0.00170648, -0.00221823, -0.000864085, -0.00117178, -7.97504e-05, -3.02101e-06
24297.295886832001997, -0.00178532, -0.00218601, -0.000926035, -0.00147161, -9.13124e-05, -9.15451e-06
24297.329353137003636, -0.00181438, -0.00217379, -0.000997667, -0.00191012, -0.000111411, -1.77084e-05
24297.36266949900164, -0.001841, -0.00213707, -0.00102296, -0.00231206, -0.000127774, -2.55124e-05
24297.395985832001315, -0.00191862, -0.00210733, -0.000964109, -0.00266418, -0.000142036, -3.13139e-05
24297.429302137003106, -0.00188399, -0.00212186, -0.000936554, -0.00222332, -0.000123234, -2.27632e-05
24297.462618466004642, -0.00190138, -0.0021121, -0.000877464, -0.00184502, -0.000108291, -1.45684e-05
24297.495934799004317, -0.00189638, -0.00210772, -0.00084313, -0.00137161, -8.85534e-05, -4.10653e-06
