time, px, py, pz, qw, qx, qy, qz
-1, 0.0151155, -0.00815406, -0.0110363, -0.000383946, 0.707789, -0.706423, 0.00119798
-1, 0.0151155, -0.00815406, -0.0110363, -0.000383946, 0.707789, -0.706423, 0.00119798
24296.396045799003332, 0.0151155, -0.00815406, -0.0110363, -0.000383946, 0.707789, -0.706423, 0.00119798
24296.429362166003557, 0.0151157, -0.00815433, -0.0110364, -0.000383954, 0.707789, -0.706423, 0.00119797
24296.462678471001709, 0.0151168, -0.00815549, -0.0110365, -0.000383962, 0.707789, -0.706423, 0.00119807
24296.495994832002907, 0.0151136, -0.00814937, -0.0110225, -0.000384078, 0.707789, -0.706423, 0.00119763
24296.529311132002476, 0.015114, -0.00814812, -0.0110197, -0.000384209, 0.707789, -0.706423, 0.00119766
24296.562627437004267, 0.0151138, -0.00814769, -0.0110158, -0.000384196, 0.707788, -0.706423, 0.00119759
24296.595943804004492, 0.0151143, -0.00815074, -0.0110165, -0.000383921, 0.707788, -0.706423, 0.00119768
24296.629260137004167, 0.0151148, -0.00815057, -0.0110156, -0.00038391, 0.707788, -0.706423, 0.00119769
24296.662726471004135, 0.0151126, -0.00815067, -0.0110107, -0.000383856, 0.707788, -0.706423, 0.00119774
24296.696042832001694, 0.0151144, -0.00815064, -0.0110098, -0.000383883, 0.707788, -0.706423, 0.00119773
24296.729359132004902, 0.0151134, -0.00814927, -0.0109981, -0.000383818, 0.707789, -0.706423, 0.00119755
24296.762675499001489, 0.0151115, -0.0081493, -0.0109955, -0.000383744, 0.707789, -0.706423, 0.00119752
24296.795991832004802, 0.0151112, -0.00814838, -0.0109909, -0.000383824, 0.707789, -0.706423, 0.00119746
24296.829308132004371, 0.0151107, -0.00815108, -0.0109829, -0.000383811, 0.707789, -0.706423, 0.0011976
24296.862624471003073, 0.0151101, -0.00815, -0.010977, -0.000383955, 0.707789, -0.706423, 0.00119754
24296.895940804002748, 0.0151082, -0.00815099, -0.0109683, -0.000384014, 0.707789, -0.706423, 0.00119735
24296.929257194002275, 0.0151089, -0.00815167, -0.0109666, -0.000384055, 0.707789, -0.706423, 0.00119752
24296.962573471002543, 0.0151089, -0.00815359, -0.0109569, -0.000383869, 0.707789, -0.706423, 0.00119748
24296.996039832003589, 0.0151075, -0.00815399, -0.0109531, -0.000383712, 0.707789, -0.706423, 0.00119752
24297.029356161001488, 0.0151082, -0.00815452, -0.0109509, -0.000383743, 0.707789, -0.706423, 0.00119765
24297.062672499003384, 0.0151095, -0.00815585, -0.0109477, -0.00038381, 0.707789, -0.706423, 0.00119793
24297.095988823002699, 0.0151084, -0.00815619, -0.0109456, -0.000383748, 0.707789, -0.706423, 0.00119799
24297.129305166003178, 0.0151081, -0.00815522, -0.0109396, -0.000383756, 0.707788, -0.706423, 0.00119796
24297.162621470004524, 0.0151083, -0.00815438, -0.0109346, -0.000383934, 0.707789, -0.706423, 0.00119805
