time px py pz qx qy qz qw
193590.161729319 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
193590.261828319 -0.002597 -0.000734 -0.001113 0.047481 -0.005286 0.003311 0.998853
193590.361777319 0.002810 0.005337 -0.001875 0.119324 -0.009663 -0.000385 0.992808
193590.461726319 0.007406 0.012586 -0.001422 0.170655 -0.010913 -0.001049 0.985270
193590.561825286 0.009096 0.020573 0.003588 0.255241 -0.009722 0.003054 0.966824
193590.661774290 0.011703 0.026158 0.008375 0.264693 -0.016821 0.004011 0.964178
193590.761723319 0.012401 0.032403 0.013007 0.277910 -0.023327 0.007583 0.960294
193590.861672319 0.009588 0.039448 0.020645 0.342952 -0.011324 0.017381 0.939124
193590.961771319 0.002547 0.045867 0.025600 0.383085 -0.005818 0.033851 0.923074
193591.061720319 -0.009913 0.050623 0.025500 0.410334 0.006648 0.059961 0.909938
193591.161669286 -0.018828 0.050799 0.024320 0.446766 0.004064 0.077906 0.891243
193591.261768271 -0.026461 0.046211 0.026911 0.510378 -0.000586 0.091490 0.855070
193591.361717285 -0.035450 0.040609 0.026873 0.549491 -0.000374 0.105864 0.828766
193591.461666319 -0.040908 0.037524 0.022882 0.565890 -0.004866 0.115039 0.816401
193591.561615319 -0.042029 0.035402 0.016781 0.567856 -0.000534 0.124153 0.813711
193591.661714290 -0.040155 0.032260 0.010222 0.560785 0.008101 0.131834 0.817358
193591.761663319 -0.035199 0.026375 0.006487 0.553933 0.013463 0.129977 0.822243
193591.861612319 -0.032803 0.016379 0.001173 0.543613 0.016588 0.127775 0.829387
193591.961711285 -0.028682 0.011718 -0.004916 0.542399 0.014938 0.121562 0.831145
193592.061660319 -0.023384 0.005348 -0.008319 0.505640 0.012952 0.114112 0.855066
193592.161609319 -0.018208 0.001162 -0.011917 0.492550 0.011460 0.107590 0.863532
193592.261708319 -0.012100 0.001098 -0.016732 0.508000 0.008865 0.096880 0.855846
193592.361657319 -0.003438 0.002434 -0.018041 0.508883 0.008149 0.079399 0.857128
193592.461606871 0.006181 0.004514 -0.013719 0.507222 0.008237 0.061375 0.859588
193592.561555257 0.015256 0.008991 -0.007233 0.515509 0.013367 0.045233 0.855585
193592.661654285 0.023444 0.013566 0.001596 0.520259 0.016737 0.031205 0.853274
193592.761603338 0.027927 0.016620 0.012002 0.524950 0.021932 0.025079 0.850481
193592.861552319 0.029928 0.020791 0.022362 0.528814 0.019853 0.017826 0.848319
193592.961651257 0.028408 0.026612 0.032415 0.531965 0.023833 0.021741 0.846152
193593.061600290 0.024751 0.030417 0.041991 0.538532 0.022305 0.024521 0.841953
193593.161549319 0.017556 0.033968 0.048729 0.544150 0.019550 0.032381 0.838135
193593.261498285 0.008156 0.039137 0.051773 0.549056 0.015792 0.047128 0.834306
193593.361597290 -0.003590 0.044419 0.051783 0.551842 0.004132 0.073217 0.830718
193593.461546285 -0.013753 0.046828 0.049441 0.557976 0.003436 0.093762 0.824536
193593.561495319 -0.024517 0.045043 0.046423 0.562374 0.012956 0.119168 0.818148
193593.661594323 -0.027902 0.042466 0.042359 0.557407 0.009559 0.130350 0.819887
193593.761543318 -0.029789 0.038971 0.037474 0.549814 0.003576 0.141176 0.823263
193593.861492318 -0.033468 0.034549 0.030313 0.550397 0.001176 0.156592 0.820086
193593.961441318 -0.030517 0.030223 0.023006 0.539139 0.005934 0.157782 0.827284
193594.061531858 -0.028613 0.026020 0.015040 0.528456 0.020288 0.161370 0.833236
193594.161465971 -0.026311 0.021151 0.006508 0.516485 0.034980 0.162840 0.839942
193594.261400107 -0.023407 0.013845 -0.001737 0.510029 0.034809 0.153468 0.845639
193594.361484192 -0.020618 0.004678 -0.010022 0.497484 0.030886 0.139208 0.855673
193594.461418300 -0.013783 -0.002116 -0.016884 0.475189 0.028291 0.114949 0.871884
193594.561352379 -0.003001 -0.004546 -0.021378 0.462694 0.021274 0.085356 0.882143
193594.661286482 0.008545 -0.003845 -0.021087 0.459399 0.011580 0.055338 0.886429
193594.761370572 0.018764 -0.002244 -0.014687 0.462750 -0.003465 0.028279 0.886031
193594.861304679 0.026281 0.000445 -0.005011 0.471315 -0.008755 0.010750 0.881856
