time, px, py, pz, qw, qx, qy, qz, vx, vy, vz
-1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
1681.2113289490000625, -1.69407e-21, -1.34417e-23, -1.25145e-07, 0.617469, 0.00585202, -0.786573, -2.66642e-06, -0.000175646, -1.30755e-06, 4.2939e-05
1681.2446455640001659, -0.000103681, -2.58341e-05, 1.29651e-05, 0.617403, 0.00587214, -0.786625, -2.17223e-05, -0.0010188, -0.000636127, 0.00336137
1681.2779616160000842, -0.000150345, 1.39016e-05, 9.55468e-05, 0.618507, 0.00983438, -0.785701, -0.00511602, -0.00254445, -0.00655377, 0.00150789
1681.3112779780001347, -9.2939e-05, 0.000124134, 7.0662e-05, 0.615595, 0.00459578, -0.788048, 0.00156972, -0.00397837, 0.00385996, 0.00556569
1681.3447443110001132, -1.75353e-05, 0.000160437, 1.6287e-05, 0.616787, 0.00652989, -0.787103, -0.000888111, -0.00659411, -0.00149226, 0.00334548
1681.3780606110001372, -0.000123233, 5.4486e-05, 8.89641e-05, 0.615603, 0.00618716, -0.788032, -0.00044584, -0.00563967, -0.00116494, 0.00753282
1681.4113769490002142, -6.58011e-05, 0.000110506, 9.24251e-05, 0.615572, 0.00570812, -0.78806, 0.00013464, -0.00390073, 0.00138527, 0.00684012
1681.444693283000106, -3.39731e-05, 0.000162478, 6.38164e-05, 0.61594, 0.00581764, -0.787772, 7.63164e-08, -0.00254045, 0.000796188, 0.00548076
1681.4780096160002358, 1.28635e-05, 0.000123413, 8.47195e-05, 0.61629, 0.00584428, -0.787497, 1.29646e-05, -0.000300086, -0.0010043, 0.00465477
1681.5113259490001383, 7.35445e-05, 0.000115664, 0.000101152, 0.61683, 0.00584127, -0.787075, 2.32772e-05, 0.000744338, -0.00229393, 0.00335692
1681.5446423110001888, 7.67726e-05, 0.000131522, 6.52421e-05, 0.61699, 0.00566586, -0.786951, 0.0002488, 0.00125047, -0.000381058, 0.00328441
1681.5779586450000807, 7.03304e-05, 0.000100391, 5.21463e-05, 0.61732, 0.00562088, -0.786692, 0.000365335, -0.000223778, 0.00164571, 0.00210953
1681.6112749300002633, 4.72885e-05, 0.000142537, 7.59079e-05, 0.617512, 0.00549122, -0.786543, 0.000503642, -0.000801901, 0.0022056, 0.0013215
1681.6445912830001816, 2.90869e-05, 0.000127569, 8.58213e-05, 0.617552, 0.0055279, -0.786511, 0.000505302, -0.00104721, 0.000666832, 0.00102298
1681.6779076160000841, 2.0321e-05, 6.64778e-05, 9.00328e-05, 0.617647, 0.00566861, -0.786435, 0.000441195, -0.00181559, -5.2396e-05, 0.000477933
