time, bias_gyr_x, bias_gyr_y, bias_gyr_z, bias_acc_x, bias_acc_y, bias_acc_z
-1, 0, 0, 0, 0, 0, 0
1681.2113289490000625, 0, 0, 0, 0, 0, 0
1681.2446455640001659, -0.00343722, -0.00399335, -0.000902284, -4.68186e-06, 1.15291e-06, -3.40298e-06
1681.2779616160000842, -0.00158487, -0.00438768, -0.00048299, -0.000916929, 0.000271482, 0.000282446
1681.3112779780001347, -0.00154947, -0.0034032, -0.000569071, -0.00650076, -0.000135846, 0.00148496
1681.3447443110001132, -0.00129233, -0.00333814, -0.000381464, -0.0136979, -9.53338e-05, 0.00330446
1681.3780606110001372, -0.00163237, -0.0035358, -0.000541985, -0.029012, -0.000284443, 0.00699304
1681.4113769490002142, -0.00175543, -0.00314345, -0.000539443, -0.058673, -0.000610283, 0.014287
1681.444693283000106, -0.00176662, -0.00285261, -0.000560715, -0.0806136, -0.000802634, 0.0197357
1681.4780096160002358, -0.00187462, -0.00262711, -0.000447035, -0.101207, -0.00096395, 0.0248845
1681.5113259490001383, -0.00181164, -0.00250965, -0.000425689, -0.110228, -0.00102496, 0.027175
1681.5446423110001888, -0.00183244, -0.00233408, -0.000404319, -0.11494, -0.00106309, 0.0283687
1681.5779586450000807, -0.00194327, -0.00240145, -0.000389351, -0.111439, -0.00106135, 0.027506
1681.6112749300002633, -0.00204769, -0.00250055, -0.000401073, -0.110387, -0.00107039, 0.0272518
1681.6445912830001816, -0.00211596, -0.00252565, -0.000460245, -0.111007, -0.00106895, 0.027407
1681.6779076160000841, -0.00213451, -0.00260321, -0.000515375, -0.110359, -0.00106916, 0.0272579
1681.7113739440001154, -0.00226972, -0.0026569, -0.000525959, -0.11121, -0.00106189, 0.0274531
1681.7446903110001131, -0.00278559, -0.00264677, -0.000476451, -0.113578, -0.00103776, 0.0279511
1681.7780066440002429, -0.00303445, -0.00269574, -0.000426661, -0.112614, -0.00104002, 0.0277224
1681.8113229780001348, -0.00319497, -0.00278246, -0.000366282, -0.112549, -0.00103432, 0.0276978
1681.8446392540001852, -0.00330268, -0.00285959, -0.000382256, -0.112481, -0.00102706, 0.027652
1681.87795558300013, -0.00337572, -0.00296803, -0.000384697, -0.111651, -0.00104743, 0.0274664
1681.9112719780002863, -0.0034473, -0.00310828, -0.00038924, -0.110904, -0.00106618, 0.0273204
1681.9445882830002574, -0.00350581, -0.00317288, -0.000399791, -0.110161, -0.00111628, 0.0272866
1681.9779046920002656, -0.00360323, -0.00312309, -0.000626661, -0.111643, -0.00120151, 0.0284477
1682.0112209780002104, -0.00358996, -0.00305886, -0.000754286, -0.112749, -0.00122028, 0.0292358
1682.0446872830002576, -0.00361916, -0.0030525, -0.000809449, -0.110421, -0.00153076, 0.0292833
1682.0780036110002129, -0.00371819, -0.00310002, -0.000891524, -0.102914, -0.00197981, 0.029197
1682.1113199780002105, -0.00372586, -0.00313568, -0.000861265, -0.09746, -0.00236252, 0.0305076
1682.1446372300001713, -0.00372086, -0.00314431, -0.00089809, -0.0908659, -0.00460945, 0.0308758
1682.1779526160000842, -0.00368145, -0.00314369, -0.000850498, -0.0920267, -0.00464841, 0.0285978
1682.211268949000214, -0.00361323, -0.00301196, -0.000773726, -0.105836, 0.00381971, 0.0243733
