time, px, py, pz, qw, qx, qy, qz, vx, vy, vz
-1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
-1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
193769.77394906300469, 4.24189e-08, 5.39544e-06, -5.89645e-05, 0.727877, 0.00817164, -0.685659, -0.000512219, -0.00520186, 0.000915061, -0.000245627
193769.8072653960262, -0.00108146, 0.000157248, -0.000630653, 0.722808, 0.00474099, -0.691032, -0.000822857, -0.01555, 0.00917742, 0.0328987
193769.84058169100899, -0.000526554, 0.000237649, -0.000732564, 0.737105, 0.00640461, -0.675735, -0.00429275, 0.00305173, 0.00445707, 0.00400466
193769.87389802900725, -0.00179007, 0.00177838, -0.000349635, 0.727593, 0.00885637, -0.685895, -0.00887762, 0.00343208, -0.00278928, 0.0371353
193769.90721439101617, -0.00195394, 0.00221937, 0.000229395, 0.736844, -0.00246262, -0.676058, -0.000716526, 0.0202847, 0.0225222, 0.0218313
193769.94053069601068, -0.00226905, 0.00240891, 0.000441691, 0.740221, -0.00596749, -0.672332, 0.0028461, 0.0277268, 0.0408525, 0.0170544
193769.97384747202159, -0.00191766, 0.00242336, 0.000578094, 0.743894, 0.00192754, -0.668285, -0.00356893, 0.00704432, 0.00703174, -0.00918921
193770.007163391012, -0.00139691, 0.0018726, 0.000805786, 0.746206, 0.00626492, -0.665638, -0.00795476, 0.0155303, -0.0282845, -0.0231227
193770.04047972901026, -0.000915265, 0.00192386, 0.00159285, 0.74596, 0.00166174, -0.665968, -0.00532198, 0.0513582, -0.00749715, -0.014891
193770.07394606302842, -0.00245602, 0.00169391, 0.00365939, 0.741575, 0.00705842, -0.670731, -0.0116821, 0.118117, -0.0687823, 0.0169878
193770.10726239101496, -0.00490217, 0.00302336, 0.00450595, 0.734138, 0.000374486, -0.678905, -0.0113451, 0.124473, -0.0253918, 0.0428035
193770.14057872901321, -0.00389146, 0.00414955, 0.00620988, 0.732654, -0.00634244, -0.680546, -0.00597062, 0.0683174, 0.0707819, 0.00114953
193770.17389552001259, -0.00305605, 0.00297994, 0.0065703, 0.728957, 0.00278841, -0.684414, -0.0138381, 0.0247382, -0.00938962, -0.0215049
193770.20721180600231, -0.00355721, 0.00285563, 0.00814051, 0.725528, 0.00376467, -0.687906, -0.0194982, 0.0212624, -0.0360167, -0.0202696
193770.24052770101116, -0.00370249, 0.00654001, 0.00847415, 0.723752, -0.00530658, -0.689925, -0.0126166, 0.0286756, 0.0964907, -0.00544877
193770.27384405801422, -0.00328433, 0.00874674, 0.0100531, 0.722587, -0.00211621, -0.691163, -0.0125175, 0.0633096, 0.0873352, 0.00218492
193770.30716036702506, -0.00300974, 0.009825, 0.0137189, 0.720313, 0.00149681, -0.693449, -0.0165695, 0.144241, 0.0510244, 0.00999918
193770.34047672501765, -0.00362941, 0.0138977, 0.0180863, 0.715254, -0.0015963, -0.69876, -0.0120084, 0.181257, 0.149044, 0.0327749
193770.37379305801005, -0.00251029, 0.017096, 0.0248772, 0.710206, 0.00205546, -0.703949, -0.00764781, 0.179919, 0.180796, 0.0171407
193770.40710936702089, -0.000254461, 0.01708, 0.0308528, 0.705635, 0.0122774, -0.70841, -0.00918483, 0.129386, 0.115549, -0.00951535
193770.44057569102733, 0.00237083, 0.0159887, 0.0350887, 0.701637, 0.0193591, -0.712188, -0.0108992, 0.0755969, 0.0751861, -0.0279319
193770.47389203400235, 0.00408823, 0.0176948, 0.0366263, 0.700421, 0.0236451, -0.713267, -0.010031, 0.0186972, 0.0746767, -0.0558291
193770.50720839601126, -0.0210515, 0.0187298, 0.0331237, 0.676939, 0.0285187, -0.735459, -0.00638818, -0.0478333, 0.0748586, 0.379313
193770.54052472501644, -0.0302124, 0.0204863, 0.0319985, 0.681329, 0.0314311, -0.73128, -0.00572439, -0.0424261, 0.0540554, 0.319794
193770.5738410630147, -0.0329833, 0.0228369, 0.0313582, 0.689174, 0.0327348, -0.72385, -0.00280572, -0.0673891, 0.0691898, 0.217346
193770.60715739100124, -0.0299302, 0.0243984, 0.0320645, 0.698724, 0.0350855, -0.71453, 0.00133567, -0.0711295, 0.0700164, 0.097267
193770.6404737290286, -0.0300264, 0.0255989, 0.0313658, 0.704841, 0.0380165, -0.708317, 0.00633331, -0.0942899, 0.0791073, 0.0600485
193770.67379006301053, -0.0289232, 0.0250783, 0.0299951, 0.712655, 0.0427633, -0.700157, 0.00859877, -0.0970605, 0.0139806, 0.0136914
193770.70710639102617, -0.0273628, 0.0256554, 0.027275, 0.718181, 0.0413558, -0.694543, 0.0107511, -0.0965322, 0.00516687, -0.0229933
193770.74042270102655, -0.0279371, 0.0283279, 0.0236383, 0.718748, 0.0372736, -0.694079, 0.016335, -0.078823, 0.0880632, 0.0268143
193770.77388905800763, -0.0282008, 0.0306717, 0.0201484, 0.719907, 0.0374468, -0.692644, 0.0239745, -0.0735361, 0.0934444, 0.0497491
193770.80720539102913, -0.0297733, 0.0306373, 0.0197923, 0.720642, 0.0381076, -0.691832, 0.0243004, -0.0378601, -0.0173885, 0.0535708
193770.84052172902739, -0.0321225, 0.032636, 0.0174144, 0.722955, 0.0333724, -0.689566, 0.0268364, -0.0869657, 0.03156, 0.0679275
193770.87383805800346, -0.0317762, 0.0336142, 0.0176973, 0.727908, 0.0325772, -0.684261, 0.0295839, -0.0242546, -0.00213329, 0.0468
