time, bias_gyr_x, bias_gyr_y, bias_gyr_z, bias_acc_x, bias_acc_y, bias_acc_z
-1, 0, 0, 0, 0, 0, 0
-1, 0, 0, 0, 0, 0, 0
193769.77394906300469, 0, 0, 0, 0, 0, 0
193769.8072653960262, -0.00914128, -0.0177955, -0.00342534, 0.000142418, -8.64653e-06, -0.000324325
193769.84058169100899, -0.00830084, -0.0127662, 0.0155591, -0.00145144, 0.000190437, 0.000485459
193769.87389802900725, 0.00217254, -0.0191736, 0.0220137, 0.00415825, 0.00046618, 0.000119311
193769.90721439101617, 0.0014472, -0.0186521, 0.0234157, 0.00266266, -0.000213092, 0.0004997
193769.94053069601068, -0.00263211, -0.0145837, 0.0180438, -0.0016183, -0.000577028, 0.0003545
193769.97384747202159, -0.00326714, -0.0145032, 0.0142256, 0.00167317, -0.000108398, 0.000838879
193770.007163391012, -0.00220273, -0.0144611, 0.0129567, 0.00224792, 0.000190608, 0.000990899
193770.04047972901026, -0.0020796, -0.0120743, 0.0131522, -0.00342332, -4.46977e-05, 0.000339858
193770.07394606302842, 0.00145802, -0.00704559, 0.0135958, -0.0159956, 8.69435e-05, -0.00126676
193770.10726239101496, 0.00492345, -0.000626542, 0.0122664, -0.0176959, -0.000249061, -0.00168987
193770.14057872901321, 0.00307665, -0.000476544, 0.0113314, -0.00670628, -0.000473937, -0.000382831
193770.17389552001259, 0.00284282, -0.00100763, 0.0103602, 0.00338646, 0.00022749, 0.000675739
193770.20721180600231, 0.00478524, -0.00285775, 0.0105525, 0.00660667, 0.000436501, 0.000901186
193770.24052770101116, 0.00492029, -0.00216573, 0.00899581, 0.0051743, -7.13319e-05, 0.000485986
193770.27384405801422, 0.00442762, -0.00171131, 0.0083044, 0.00132583, -7.57658e-05, 0.000340283
193770.30716036702506, 0.0044093, -0.000116472, 0.00767866, -0.0104589, -0.000138522, -3.13003e-05
193770.34047672501765, 0.00317869, 0.00170554, 0.00666596, -0.0166678, -0.000533099, -0.000545619
193770.37379305801005, 0.00011886, 0.000445936, 0.00800862, -0.0146998, -0.000654307, -0.000482949
193770.40710936702089, -0.00279425, -0.00180669, 0.00991904, -0.00391491, -0.000318359, -6.82635e-05
193770.44057569102733, -0.00529309, -0.00353325, 0.0113589, 0.00387988, -0.000101044, -8.24275e-06
193770.47389203400235, -0.00574017, -0.00401563, 0.0118904, 0.00981913, 0.00012497, -5.35592e-05
193770.50720839601126, -0.00828211, -0.00285782, 0.0110322, 0.0159486, -0.000281707, -0.00227303
193770.54052472501644, -0.00798083, -0.00279145, 0.0109383, 0.010294, -0.000276836, -0.00197037
193770.5738410630147, -0.008067, -0.0032988, 0.0111781, 0.0105868, 0.000189237, -0.00148625
193770.60715739100124, -0.00868609, -0.00481017, 0.0119509, 0.0104966, 0.000820322, -0.000884572
193770.6404737290286, -0.00977032, -0.00617245, 0.0126613, 0.0125682, 0.00106409, -0.000813935
193770.67379006301053, -0.0103171, -0.00708619, 0.0131151, 0.0117207, 0.00142407, -0.00116488
193770.70710639102617, -0.0102842, -0.00723647, 0.0131475, 0.0107295, 0.00167809, -0.00105452
193770.74042270102655, -0.0109315, -0.00632204, 0.0123996, 0.00361634, 0.000411219, -0.000322937
193770.77388905800763, -0.0118543, -0.0058021, 0.0119432, 0.00204961, -0.0002181, -0.000313592
193770.80720539102913, -0.0116166, -0.00613989, 0.0122593, -0.00190748, -0.000310019, -0.00153159
193770.84052172902739, -0.0115541, -0.00664546, 0.0124514, 0.00522984, -0.000508115, -0.000372495
193770.87383805800346, -0.0114242, -0.00688777, 0.0127236, -0.00505325, -1.8261e-05, -0.000762244
193770.90715439600172, -0.0104966, -0.006696, 0.0125189, -0.0055701, -0.000247225, -0.00122855
193770.94047070102533, -0.0108838, -0.00650467, 0.0123025, 0.00139424, 0.00131352, 0.000123309
