time, px, py, pz, qw, qx, qy, qz, vx, vy, vz
-1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
-1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
3620.3200645269998859, 1.01352e-06, -5.78639e-06, 6.9221e-06, 0.724556, 0.034768, -0.688338, -3.52059e-05, 0.00058835, -0.000737328, -2.90467e-05
3620.353380831999857, -4.89409e-05, 3.15646e-05, 6.07303e-05, 0.724372, 0.0342702, -0.688557, 0.00048373, 0.00209072, 0.000457536, 0.00168924
3620.3866971649999869, 4.77368e-05, 3.43941e-05, -8.33192e-05, 0.726397, 0.0337576, -0.686446, 0.000873163, 0.00125748, 0.000554032, -0.00187021
3620.4200135270002647, 6.25667e-05, 0.000118942, -8.19404e-05, 0.724639, 0.0346136, -0.688259, 0.000121185, 0.00195295, -0.00111793, 0.00149171
3620.4533298609999292, 0.000113553, 4.92388e-05, -9.40498e-05, 0.725074, 0.033491, -0.687855, 0.00117067, 0.00215026, 0.000925535, 9.75878e-06
3620.486646194000059, 0.00012045, 5.80298e-05, -6.59595e-05, 0.724585, 0.0338223, -0.688355, 0.000893642, 0.00297146, 6.10792e-05, 0.00213378
3620.519962464999935, 0.000104879, 2.44898e-05, -3.88279e-05, 0.724504, 0.0339755, -0.688432, 0.000760711, 0.00226403, -0.0011681, 0.0032142
3620.5532788609998534, 5.36106e-05, 2.57436e-05, -1.26325e-05, 0.724591, 0.0338425, -0.688347, 0.000872293, 0.000567418, -0.000826891, 0.00302697
3620.5867451610001808, -7.5584e-07, -1.09436e-05, 2.35349e-05, 0.724944, 0.0337395, -0.68798, 0.000960979, -0.000606926, -0.000669405, 0.00180014
3620.6200614650001626, -3.213e-05, 3.91648e-05, 3.3071e-05, 0.725143, 0.0337009, -0.687772, 0.000973066, -0.000910091, -0.000781907, 0.00137245
3620.6533778319999328, -3.2102e-05, 5.017e-05, 6.98971e-05, 0.725362, 0.0336891, -0.687542, 0.00095154, -0.000839144, -0.000490441, -0.000217917
3620.6866941419998511, 1.40789e-05, 2.15193e-05, 8.41059e-05, 0.725534, 0.03372, -0.687359, 0.000947989, -0.0013986, -0.00104659, -0.00169924
3620.7200104940002348, 3.31542e-05, 3.34994e-05, 7.0886e-05, 0.725468, 0.0336698, -0.687431, 0.000984305, -0.000926273, -0.000875881, -0.00121758
3620.7533268269999098, -5.06426e-06, -5.11223e-06, 0.000110643, 0.725375, 0.0336501, -0.68753, 0.00101206, -0.000701213, -0.000799975, -0.000365156
3620.786643217999881, -7.63755e-06, -4.03797e-05, 0.000117602, 0.725381, 0.0336101, -0.687526, 0.00106269, -0.000610906, -0.000484357, -0.000152118
3620.8199595270002646, -6.61106e-05, -6.46234e-05, 0.000157326, 0.725349, 0.0336038, -0.68756, 0.00109997, -0.000176158, -0.000154879, 0.000843571
3620.8532758609999291, -4.68187e-05, -4.10127e-05, 0.000168057, 0.725404, 0.0336172, -0.687501, 0.00106978, 0.000337726, -0.000471112, 0.000625592
3620.8865921460001118, -7.12368e-05, -5.12389e-05, 0.000185678, 0.725393, 0.0336074, -0.687513, 0.00109253, 0.000621202, -0.000345725, 0.00061932
3620.9200584989998788, -9.88192e-05, -6.07e-05, 0.000218544, 0.725407, 0.0335869, -0.687499, 0.00110246, 0.00111177, -9.81261e-05, 0.00117631
3620.9533748610001567, -0.000144765, -8.13494e-05, 0.000253498, 0.725399, 0.0336083, -0.687507, 0.00110302, 0.0015951, -0.000497999, 0.00168422
3620.9866911320000327, -0.000175433, -0.000102908, 0.000279296, 0.725395, 0.0336424, -0.68751, 0.00109901, 0.00117875, -0.00109365, 0.00129211
3621.0200075269999616, -0.000199705, -8.70904e-05, 0.000321898, 0.725417, 0.0336218, -0.687487, 0.00110212, 0.00149667, -0.000825599, 0.00161768
3621.0533238269999856, -0.000250231, -0.000104475, 0.000339358, 0.7254, 0.0336115, -0.687505, 0.00112319, 0.00151396, -0.00073066, 0.00205241
3621.0866401940002106, -0.000299115, -0.000109301, 0.000375711, 0.725432, 0.0335661, -0.687474, 0.00113623, 0.00156756, -0.000454365, 0.00202139
3621.1199565269998857, -0.000332132, -0.000121953, 0.000403633, 0.725443, 0.0335616, -0.687463, 0.00114623, 0.00176746, -0.00072223, 0.00179748
3621.1532728610000049, -0.000368259, -0.00013018, 0.000389869, 0.725422, 0.0335612, -0.687485, 0.0011495, 0.00149389, -0.000425698, 0.00196189
3621.1865891940001347, -0.000387327, -0.000108677, 0.000384391, 0.725437, 0.0335342, -0.68747, 0.00115483, 0.00131547, 0.000129603, 0.00175774
3621.2199055270002646, -0.000393592, -9.17833e-05, 0.000365943, 0.725444, 0.0335192, -0.687464, 0.00117173, 0.000707629, 0.000272007, 0.000965929
3621.2532218320002357, -0.000399596, -8.28382e-05, 0.00034747, 0.725442, 0.0335353, -0.687465, 0.00118938, 0.000281916, 0.000318015, 0.000473188
3621.2866881939999075, -0.000405831, -0.000105648, 0.000332102, 0.725443, 0.0335627, -0.687462, 0.00119424, 2.30659e-05, -0.000107122, 0.000364221
3621.3200044989998787, -0.00040193, -0.000104731, 0.000314983, 0.725443, 0.0335548, -0.687463, 0.00117997, -0.000514749, 0.000205767, 7.09563e-05
3621.3533207989999028, -0.000387135, -0.000116738, 0.000289706, 0.725453, 0.0335495, -0.687453, 0.00117694, -0.00103211, 0.000150018, 9.50887e-05
