time, bias_gyr_x, bias_gyr_y, bias_gyr_z, bias_acc_x, bias_acc_y, bias_acc_z
-1, 0, 0, 0, 0, 0, 0
-1, 0, 0, 0, 0, 0, 0
3620.3200645269998859, 0, 0, 0, 0, 0, 0
3620.353380831999857, -0.00308976, -0.00577065, -0.00268729, -5.33043e-06, -2.96881e-05, -1.64774e-05
3620.3866971649999869, -0.00331854, -0.00239336, -0.00137088, -0.00100995, -0.000104841, 6.2696e-05
3620.4200135270002647, -0.00265084, -0.00222534, -0.00144178, -0.000102432, -1.31466e-05, -7.54414e-07
3620.4533298609999292, -0.00299516, -0.00205812, -0.000894898, 0.00207887, 2.63078e-05, 0.000139683
3620.486646194000059, -0.00296337, -0.00207332, -0.00106066, 0.00697643, 0.000285143, 0.000363
3620.519962464999935, -0.00295124, -0.00217122, -0.000994674, 0.0179806, 0.000828317, 0.000929092
3620.5532788609998534, -0.00283226, -0.00244116, -0.000997839, 0.0339468, 0.00158785, 0.00175234
3620.5867451610001808, -0.00287348, -0.00272255, -0.000880496, 0.0448043, 0.00210065, 0.00232016
3620.6200614650001626, -0.00269603, -0.00283096, -0.000818769, 0.0474213, 0.00222359, 0.00246166
3620.6533778319999328, -0.00262149, -0.00294607, -0.000738746, 0.0475185, 0.00222976, 0.00248146
3620.6866941419998511, -0.00261504, -0.00309126, -0.00074022, 0.0495893, 0.0023281, 0.00259514
3620.7200104940002348, -0.0025634, -0.00310209, -0.000696461, 0.0483691, 0.0022697, 0.00252812
3620.7533268269999098, -0.0025967, -0.00317766, -0.000660116, 0.0472405, 0.00221692, 0.00246148
3620.786643217999881, -0.00265087, -0.00318589, -0.000590575, 0.0460991, 0.00216528, 0.00239185
3620.8199595270002646, -0.0026913, -0.00322795, -0.000562752, 0.0450374, 0.00211836, 0.00232256
3620.8532758609999291, -0.00263402, -0.00320846, -0.000614038, 0.0442226, 0.00208967, 0.00226299
3620.8865921460001118, -0.00264255, -0.00318794, -0.000631529, 0.0435973, 0.00206482, 0.00221697
3620.9200584989998788, -0.00266199, -0.00314091, -0.000648503, 0.0422474, 0.00201608, 0.00211085
3620.9533748610001567, -0.00265238, -0.00310155, -0.000654369, 0.0416136, 0.00199572, 0.00205889
3620.9866911320000327, -0.00261208, -0.00309278, -0.000666043, 0.0419649, 0.00200798, 0.0020887
3621.0200075269999616, -0.0025717, -0.00307651, -0.000678221, 0.0416042, 0.00199635, 0.00205996
3621.0533238269999856, -0.0025713, -0.00306218, -0.000685774, 0.041907, 0.00200353, 0.00208853
3621.0866401940002106, -0.00259176, -0.0030425, -0.000696791, 0.0418738, 0.00200181, 0.00208801
3621.1199565269998857, -0.00259443, -0.00301997, -0.000683704, 0.0419178, 0.00200273, 0.00209322
3621.1532728610000049, -0.00260432, -0.0030046, -0.0006824, 0.0427231, 0.00202327, 0.00216646
3621.1865891940001347, -0.00261117, -0.00301195, -0.00071032, 0.043619, 0.0020464, 0.0022483
3621.2199055270002646, -0.00262337, -0.00303925, -0.000733325, 0.0449046, 0.0020783, 0.0023638
3621.2532218320002357, -0.00262697, -0.00306447, -0.000736176, 0.045852, 0.00209996, 0.00244879
3621.2866881939999075, -0.00262175, -0.00308449, -0.000751674, 0.0463875, 0.0021119, 0.00249604
3621.3200044989998787, -0.00262034, -0.00311958, -0.000774762, 0.0471292, 0.0021265, 0.00256361
3621.3533207989999028, -0.00261836, -0.00314416, -0.000774811, 0.0475233, 0.00213441, 0.00259885
3621.3866371650001383, -0.00261035, -0.00317549, -0.000776627, 0.0478483, 0.00214123, 0.00262768
3621.4199534939998557, -0.00260149, -0.00318648, -0.000760685, 0.0476166, 0.00213864, 0.00260597
3621.4532698610000807, -0.00258609, -0.00320579, -0.000761202, 0.0472594, 0.00213367, 0.00257195
3621.4865861940002105, -0.00257022, -0.00321919, -0.0007637, 0.0467062, 0.00212694, 0.00251775
