time, px, py, pz, qw, qx, qy, qz, vx, vy, vz
-1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
1004.7703793919999953, -1.90582e-20, -1.19114e-21, 1.32924e-06, 0.670308, 0.088261, -0.736816, -3.04327e-05, 0.000811567, 9.72526e-05, -8.32901e-05
1004.8036957580000035, 0.0008824, 0.000131867, -0.000256103, 0.671041, 0.0885631, -0.736112, -0.000236635, -0.0114088, -0.00219061, -0.0265358
1004.8370125820000567, 0.00282934, -0.000809481, -0.00271342, 0.679216, 0.11785, -0.723692, -0.032367, -0.0354927, -0.0712223, -0.0554207
1004.8703284250000252, 0.00444831, -0.00184491, -0.00580562, 0.671939, 0.138745, -0.725451, -0.0544879, -0.0353997, -0.132045, -0.0520315
1004.9036447250000492, 0.00584625, -0.00116604, -0.0049633, 0.674176, 0.105072, -0.730815, -0.0188805, -0.0398799, -0.0563049, -0.056733
1004.9369610920000468, 0.00748395, -0.00222449, -0.00409358, 0.666664, 0.0919091, -0.739668, -0.00179131, -0.0292163, -0.0145604, -0.0443803
1004.9702774300000101, 0.00959297, -0.00669228, -0.00668706, 0.65418, 0.0891517, -0.75103, 0.00738664, -0.0536118, -0.000457056, -0.018942
1005.0035937579999654, 0.0110518, -0.0118016, -0.00761784, 0.651381, 0.094006, -0.752855, 0.00865235, -0.073999, -0.00880812, -0.00208533
1005.0369100579999895, 0.011467, -0.0128639, -0.0089983, 0.655168, 0.100302, -0.748782, 0.00444123, -0.0929035, -0.003999, -0.00578983
1005.0702264249999871, 0.0116437, -0.0151736, -0.0106623, 0.655864, 0.100683, -0.748067, 0.0100691, -0.0711816, 0.0512062, 0.00376761
1005.1036926960000528, 0.0112933, -0.013657, -0.0141363, 0.652582, 0.10726, -0.749914, 0.0161616, -0.0609807, 0.0842242, 0.0176628
1005.1370090919999711, 0.0108818, -0.00979885, -0.0165271, 0.65197, 0.11409, -0.749402, 0.0177455, -0.0834034, 0.0866953, 0.0181748
1005.1703254249999873, 0.0106405, -0.00529201, -0.0176671, 0.655342, 0.116964, -0.745938, 0.0205595, -0.115382, 0.108192, 0.00513937
1005.2036417250000113, 0.00609245, 0.00059051, -0.0203743, 0.654517, 0.121089, -0.745977, 0.0215234, -0.155799, 0.105354, 0.0499457
1005.2369580910000195, 0.0029624, 0.00616613, -0.0245192, 0.657671, 0.125156, -0.742563, 0.0201447, -0.181101, 0.113293, 0.0679561
1005.2702743910000436, 9.37399e-06, 0.01276, -0.0285579, 0.662717, 0.127195, -0.737709, 0.0203322, -0.209781, 0.179545, 0.0365044
1005.3035907580000412, -0.00166189, 0.0204557, -0.0315137, 0.670528, 0.127449, -0.730383, 0.0262604, -0.188707, 0.205892, 0.0251973
1005.3369070439999859, -0.00286538, 0.0263966, -0.0361631, 0.675955, 0.127867, -0.725015, 0.0329953, -0.165085, 0.192778, 0.0262879
1005.3702233630000364, -0.00406217, 0.0323871, -0.0398105, 0.680595, 0.130642, -0.719803, 0.0400823, -0.116866, 0.186326, 0.0141195
1005.4035397579999653, -0.00564447, 0.0371818, -0.0431363, 0.683659, 0.135304, -0.715286, 0.0516692, -0.0601598, 0.181994, -0.00233484
1005.4368560300000581, -0.00709055, 0.0412675, -0.0436806, 0.686113, 0.143058, -0.710512, 0.0629003, -0.0208294, 0.167985, 0.0265076
1005.4703223909999679, -0.00983071, 0.0446966, -0.042737, 0.684171, 0.147484, -0.710926, 0.0688618, 0.0308537, 0.160207, 0.0690383
1005.5036387579999655, -0.0141849, 0.04884, -0.0417197, 0.677738, 0.15159, -0.715635, 0.0745526, 0.0676418, 0.159667, 0.0748446
1005.5369550579999895, -0.01798, 0.0512922, -0.0386448, 0.671386, 0.15699, -0.719787, 0.080629, 0.0810088, 0.127868, 0.0850259
1005.5702713910000057, -0.0195498, 0.0505501, -0.0327212, 0.668137, 0.162671, -0.721017, 0.0852331, 0.0829767, 0.0834749, 0.0616396
1005.6035877580000033, -0.0189371, 0.0498327, -0.0266632, 0.66947, 0.166356, -0.718468, 0.0891094, 0.0882232, 0.0327748, 0.0504199
1005.636904114999993, -0.0225256, 0.0490332, -0.0237702, 0.672987, 0.167463, -0.714707, 0.0907695, 0.0760621, -0.00394977, 0.0716844
1005.670220425000025, -0.0252341, 0.047834, -0.0209198, 0.680245, 0.1681, -0.70704, 0.0954162, 0.0485295, -0.0204002, 0.0766351
1005.7035367629999882, -0.0219386, 0.0471331, -0.0185808, 0.688219, 0.168237, -0.698057, 0.103765, 0.0311562, -0.0532825, 0.0834411
1005.7368530910000572, -0.0144296, 0.0425928, -0.0133633, 0.692119, 0.167228, -0.693062, 0.112563, 0.0390073, -0.113817, 0.0907053
1005.7701694250000628, -0.01382, 0.0370989, -0.0101799, 0.688857, 0.165509, -0.695962, 0.11713, 0.0577523, -0.194923, 0.128594
1005.8036357250000492, -0.0169863, 0.0279851, -0.00830092, 0.682841, 0.166032, -0.70204, 0.115338, 0.0558262, -0.257989, 0.145246
1005.8369520910000574, -0.0130059, 0.0125402, -0.00220218, 0.682429, 0.170774, -0.701756, 0.112545, 0.06936, -0.329524, 0.139383
1005.8702683909999678, -0.00503321, -0.00708009, 0.00767668, 0.683192, 0.171708, -0.701083, 0.110669, 0.117336, -0.407156, 0.144308
1005.9035847249999733, -0.00473689, -0.0229486, 0.0105478, 0.677306, 0.167156, -0.708427, 0.106989, 0.132564, -0.4534, 0.167207
1005.9369010579999895, -0.00256525, -0.0391947, 0.0143555, 0.67122, 0.161594, -0.715834, 0.104559, 0.12262, -0.496886, 0.173809
1005.9702174249999871, -0.00278863, -0.0568427, 0.0154623, 0.667242, 0.15517, -0.721558, 0.100321, 0.0798104, -0.532324, 0.180118
1006.0035337580000032, -0.000513755, -0.0769274, 0.0181746, 0.668074, 0.150301, -0.722633, 0.0942767, 0.0477122, -0.567646, 0.185358
1006.0368500629999744, 0.00288359, -0.100429, 0.0228226, 0.672231, 0.143836, -0.721079, 0.0863802, 0.0359984, -0.604098, 0.19475
1006.0701663959999905, 0.00307172, -0.121311, 0.0215178, 0.674116, 0.139348, -0.721305, 0.0766063, 0.018986, -0.616505, 0.210576
1006.103482758000041, 0.0014421, -0.142938, 0.0186469, 0.676417, 0.135996, -0.72078, 0.0666352, -0.0110108, -0.612205, 0.218901
1006.1369490910000195, 0.000574347, -0.164058, 0.0155518, 0.679305, 0.13159, -0.719551, 0.0589494, -0.0301414, -0.605705, 0.236717
1006.1702654250000251, -0.000898624, -0.185927, 0.0132143, 0.681169, 0.124442, -0.719495, 0.0533849, -0.0482083, -0.600781, 0.259735
1006.2035817250000491, -0.00306152, -0.205369, 0.00900973, 0.681749, 0.116443, -0.720617, 0.0486872, -0.0992756, -0.590574, 0.268451
1006.2368980910000573, -0.00272873, -0.225731, 0.00411707, 0.684708, 0.109516, -0.719215, 0.0437148, -0.153089, -0.579149, 0.264335
1006.2702143909999677, -0.00493926, -0.245778, -0.00233608, 0.688085, 0.102407, -0.717298, 0.039173, -0.196641, -0.557761, 0.272133
1006.3035307249999732, -0.00824226, -0.26054, -0.010158, 0.691876, 0.0963007, -0.714675, 0.0356862, -0.247944, -0.508992, 0.264361
1006.3368470579999894, -0.00864454, -0.27623, -0.0180622, 0.69724, 0.0937327, -0.709886, 0.0336467, -0.280238, -0.458848, 0.255205
1006.370163424999987, -0.0109618, -0.292636, -0.026083, 0.703223, 0.0906102, -0.704369, 0.0336331, -0.298357, -0.403561, 0.251009
1006.4034797010000375, -0.0128209, -0.303415, -0.0330165, 0.708845, 0.0868433, -0.699037, 0.0366652, -0.313951, -0.34538, 0.246968
