time, bias_gyr_x, bias_gyr_y, bias_gyr_z, bias_acc_x, bias_acc_y, bias_acc_z
-1, 0, 0, 0, 0, 0, 0
1004.7703793919999953, 0, 0, 0, 0, 0, 0
1004.8036957580000035, -0.0167472, 0.0307534, 0.0219188, 3.75498e-05, 5.41568e-07, 7.4952e-05
1004.8370125820000567, -0.0175634, 0.0384563, 0.0108424, 0.00369937, 0.00228012, 0.000305462
1004.8703284250000252, -0.00960389, 0.0356108, -0.0030464, 0.0426923, 0.00828565, -0.00394284
1004.9036447250000492, 0.000575009, 0.0307021, -4.61232e-05, 0.0155485, 0.00170884, -0.0013832
1004.9369610920000468, -0.000689212, 0.0284948, 0.00565475, -0.0686272, -0.0165856, 0.00594849
1004.9702774300000101, -0.0131281, 0.028885, 0.00750387, -0.00900729, -0.00447621, -0.00013939
1005.0035937579999654, -0.0231278, 0.022437, 0.00739547, 0.110495, 0.017443, -0.0120228
1005.0369100579999895, -0.0241291, 0.0172765, 0.0065502, 0.262526, 0.0404467, -0.0299856
1005.0702264249999871, -0.0304233, 0.0165331, 0.00664836, 0.170657, 0.0306848, -0.0157835
1005.1036926960000528, -0.033793, 0.0209851, 0.00603554, 0.0604275, 0.0220221, 0.00391874
1005.1370090919999711, -0.0316156, 0.0204159, 0.00559521, 0.102372, 0.0253698, -0.00492568
1005.1703254249999873, -0.029584, 0.0172405, 0.00541662, 0.134707, 0.0288209, -0.0113216
1005.2036417250000113, -0.0247392, 0.013631, 0.00411681, 0.206689, 0.0305422, -0.0307576
1005.2369580910000195, -0.0208962, 0.0118038, 0.00346401, 0.232412, 0.0328559, -0.042196
1005.2702743910000436, -0.0181126, 0.00898569, 0.0029671, 0.25885, 0.0348729, -0.0523195
1005.3035907580000412, -0.0156949, 0.00635329, 0.00302224, 0.265948, 0.0391261, -0.0627106
1005.3369070439999859, -0.0157644, 0.00772146, 0.00351284, 0.242585, 0.0413275, -0.0673537
1005.3702233630000364, -0.0160295, 0.00876034, 0.00344697, 0.223333, 0.0414667, -0.0647073
1005.4035397579999653, -0.01763, 0.0116234, 0.00349993, 0.195055, 0.0379529, -0.0587229
1005.4368560300000581, -0.0174475, 0.0141004, 0.00368899, 0.16395, 0.0393383, -0.0691108
1005.4703223909999679, -0.0172959, 0.0158049, 0.00408779, 0.141135, 0.0420195, -0.0819977
1005.5036387579999655, -0.0171829, 0.0174606, 0.00397657, 0.132048, 0.0415388, -0.0860565
1005.5369550579999895, -0.0169789, 0.0187141, 0.00416094, 0.115962, 0.0451134, -0.10009
1005.5702713910000057, -0.0165997, 0.017739, 0.004776, 0.103296, 0.0552999, -0.129834
1005.6035877580000033, -0.015579, 0.0162275, 0.00528371, 0.0973476, 0.0672351, -0.158416
1005.636904114999993, -0.0136354, 0.0166014, 0.00496001, 0.0957521, 0.065058, -0.177189
1005.670220425000025, -0.0118176, 0.0153996, 0.00487226, 0.103318, 0.0612312, -0.189052
1005.7035367629999882, -0.0106704, 0.0169814, 0.00514147, 0.0799065, 0.084637, -0.218884
1005.7368530910000572, -0.0102336, 0.0166467, 0.00671547, 0.0507899, 0.121349, -0.268696
1005.7701694250000628, -0.00988967, 0.0177924, 0.00639723, 0.0287045, 0.139995, -0.290092
1005.8036357250000492, -0.00955043, 0.0190949, 0.0062422, 0.015425, 0.144014, -0.301306
1005.8369520910000574, -0.0100215, 0.0180484, 0.00729288, -0.0056134, 0.167359, -0.355054
1005.8702683909999678, -0.0112215, 0.0162983, 0.00837699, -0.0361787, 0.208021, -0.432126
1005.9035847249999733, -0.0110901, 0.0167712, 0.00840312, -0.0402262, 0.211937, -0.439729
1005.9369010579999895, -0.0108813, 0.0165224, 0.00831883, -0.042638, 0.219176, -0.442117
1005.9702174249999871, -0.0103601, 0.0164292, 0.00816194, -0.0384756, 0.214732, -0.439043
1006.0035337580000032, -0.00983141, 0.015757, 0.00844619, -0.04399, 0.223822, -0.459957
1006.0368500629999744, -0.00918042, 0.0143636, 0.00915196, -0.0559334, 0.238249, -0.504468
1006.0701663959999905, -0.00892693, 0.0143543, 0.00920256, -0.0550141, 0.238917, -0.504339
1006.103482758000041, -0.00882197, 0.0147626, 0.00926927, -0.0553967, 0.236613, -0.504696
