time, px, py, pz, qw, qx, qy, qz, vx, vy, vz
-1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
25498.521299055002601, -1.05879e-22, 1.63451e-21, -7.2529e-07, 0.722573, -0.0317275, -0.690567, 5.50007e-06, -0.000189509, 8.70826e-06, -8.39758e-06
25498.554615421999188, 0.000211151, -0.000133643, 1.29664e-05, 0.723204, -0.0312522, -0.689927, -0.000341566, 8.53748e-05, -0.00323828, -0.00636658
25498.587931727000978, 0.000107372, -2.01398e-07, 8.51846e-05, 0.71939, -0.0269248, -0.694069, -0.00470269, 7.32709e-05, -0.00680178, 0.00248628
25498.621248088002176, 4.21307e-05, 4.44025e-05, 0.000113825, 0.719508, -0.0308534, -0.693798, -0.000936045, 0.000148748, -0.000321124, 0.00423523
25498.654564422002295, 0.000126346, 4.47164e-05, 0.000117679, 0.722227, -0.0320879, -0.690911, 0.000357225, 0.000342646, 0.00269827, -0.00233073
25498.68788075500197, 7.57215e-05, 5.08208e-05, 9.83863e-05, 0.72132, -0.0314559, -0.691887, -0.000283502, -0.000125683, 0.00106753, 0.00107434
25498.721197027000017, 1.53176e-05, 4.02029e-05, 8.93123e-05, 0.721434, -0.0315805, -0.691763, -0.000163199, 0.000168529, 0.000768416, 0.0014576
25498.754663388001063, 0.000102428, 7.5258e-05, 8.42617e-05, 0.722009, -0.031506, -0.691166, -0.000183868, 0.00163544, 3.30263e-05, -0.00100706
25498.787979726999765, 8.20013e-05, 3.39592e-05, 6.65068e-05, 0.721839, -0.0315559, -0.691341, -0.000158592, 0.00179748, 3.73105e-05, -0.000195392
25498.82129605999944, 1.15031e-05, 4.13768e-05, 6.19782e-05, 0.721629, -0.0316571, -0.691556, -6.58259e-05, 0.00160802, 0.00117605, 0.00100789
25498.854612422001082, 2.68998e-05, 5.6091e-05, 6.21529e-05, 0.72176, -0.031647, -0.69142, -8.00977e-05, 0.00118888, 0.00193455, 0.000184775
25498.887928755000758, 0.000103904, 7.52035e-05, 5.2438e-05, 0.721943, -0.0315813, -0.691231, -0.000119254, 0.00071927, 0.00206517, -0.00143572
25498.921245093002653, 0.000112144, 5.95281e-05, 5.88565e-05, 0.721885, -0.0314798, -0.691297, -0.000216977, 0.000596851, 0.00117142, -0.00126526
25498.954561422000552, 0.000164423, 8.09541e-05, 2.6092e-05, 0.721884, -0.0314011, -0.691301, -0.000268647, 0.000777469, 0.000635803, -0.00121613
25498.987877755000227, 0.000187866, 7.15925e-05, 2.03804e-05, 0.721877, -0.0314489, -0.691306, -0.000259359, 0.000651431, 0.000565248, -0.0011924
25499.021194087999902, 0.000197552, 4.25373e-05, -3.48451e-06, 0.721844, -0.03145, -0.69134, -0.000243081, 0.000712938, 0.000906279, -0.000987659
25499.054510387999471, 0.000175556, 4.66605e-05, -2.32609e-05, 0.721787, -0.0313542, -0.691405, -0.00029581, 0.000376673, 0.000661638, -0.000578183
25499.087827278999612, 0.00015831, 5.05219e-05, -3.35632e-05, 0.721733, -0.0312281, -0.691466, -0.000413188, -8.271e-05, 0.000767053, -0.000124747
25499.121293060001335, 0.00010641, 6.01709e-05, -2.21345e-05, 0.72171, -0.031205, -0.691492, -0.000457572, 0.000307027, 0.000550928, 0.000809716
25499.15460939300101, 9.09696e-05, 7.07505e-05, -2.7917e-05, 0.721711, -0.0312109, -0.691491, -0.000445031, 0.000178126, 0.000115909, 0.000495682
25499.187925755002652, 8.98256e-05, 0.000101586, -3.44232e-05, 0.72171, -0.0312632, -0.691489, -0.000424598, 0.000116769, 0.00028886, 0.000580012
25499.221242055002222, 6.55696e-05, 0.000103268, -5.47733e-05, 0.721687, -0.0312761, -0.691512, -0.000414697, -0.000233578, 9.23226e-06, 0.000959393
25499.254558422002447, 7.40677e-05, 0.00012216, -5.77163e-05, 0.721709, -0.0312961, -0.691489, -0.000396936, -0.000256493, 5.39789e-05, 0.00068025
25499.287874755002122, 9.97733e-05, 0.000146702, -5.28186e-05, 0.721741, -0.0312916, -0.691455, -0.000412943, 0.000121471, 0.000498978, 0.000273473
