time, bias_gyr_x, bias_gyr_y, bias_gyr_z, bias_acc_x, bias_acc_y, bias_acc_z
-1, 0, 0, 0, 0, 0, 0
25498.521299055002601, 0, 0, 0, 0, 0, 0
25498.554615421999188, -0.00566295, -0.00463089, -0.00159203, -6.1482e-06, 2.47603e-05, 3.81147e-05
25498.587931727000978, -0.00193709, -0.0048012, -0.00121071, -0.000531786, 0.000319294, -0.000221756
25498.621248088002176, -0.00129873, -0.00468362, -0.000863114, -0.00182501, 0.000142937, -0.000274092
25498.654564422002295, -0.00168015, -0.00465714, -0.000648501, -0.00210143, 7.34083e-05, -0.00011643
25498.68788075500197, -0.00177002, -0.00464058, -0.000772672, -0.000210745, 3.85622e-05, -0.000100506
25498.721197027000017, -0.00191876, -0.00441417, -0.000783049, -0.00692156, 0.000314087, -0.000356019
25498.754663388001063, -0.00183789, -0.00411506, -0.000843815, -0.01571, 0.000705566, -0.00066974
25498.787979726999765, -0.00193505, -0.00392433, -0.000804407, -0.016069, 0.000719955, -0.000694435
25498.82129605999944, -0.00199857, -0.00381096, -0.000799652, -0.0147113, 0.000648246, -0.000648618
25498.854612422001082, -0.00206899, -0.00378276, -0.000731064, -0.0124521, 0.000531599, -0.000537979
25498.887928755000758, -0.00212454, -0.00374053, -0.000708366, -0.0112831, 0.000470451, -0.00047087
25498.921245093002653, -0.00216212, -0.00370731, -0.000689108, -0.0118215, 0.000507901, -0.0005022
25498.954561422000552, -0.0021253, -0.00361523, -0.000663298, -0.0123721, 0.000544376, -0.000531004
25498.987877755000227, -0.00218588, -0.00356772, -0.000614005, -0.0129266, 0.00057606, -0.00056314
25499.021194087999902, -0.00226123, -0.00352481, -0.000608011, -0.0124964, 0.000547229, -0.000537933
25499.054510387999471, -0.00224218, -0.00348179, -0.000558315, -0.0124017, 0.00054412, -0.000536082
25499.087827278999612, -0.00220662, -0.00352373, -0.000583254, -0.0109587, 0.000457479, -0.00044479
25499.121293060001335, -0.002189, -0.00352608, -0.00062037, -0.0110089, 0.000462317, -0.000451095
25499.15460939300101, -0.00217253, -0.00351828, -0.000654814, -0.0106926, 0.000444947, -0.000429836
25499.187925755002652, -0.00216466, -0.00350406, -0.000684262, -0.0106993, 0.000444162, -0.000428956
25499.221242055002222, -0.00217006, -0.0035084, -0.000718888, -0.010114, 0.000417015, -0.000392388
25499.254558422002447, -0.00216774, -0.0035115, -0.000736923, -0.0100487, 0.000413991, -0.000386627
25499.287874755002122, -0.00214719, -0.00352339, -0.000737708, -0.00992759, 0.000410562, -0.000379288
25499.321191060000274, -0.0021271, -0.00352179, -0.000753909, -0.0100374, 0.000415184, -0.000385276
25499.354510679000668, -0.00210999, -0.00351103, -0.00078653, -0.010174, 0.000420544, -0.000392548
25499.387823725999624, -0.00208283, -0.00349771, -0.000803743, -0.0105472, 0.000433111, -0.000411176
25499.421140088001266, -0.00206647, -0.0034957, -0.000810509, -0.0104449, 0.000430801, -0.000404936
25499.454606422001234, -0.0020633, -0.003493, -0.00082424, -0.0103014, 0.000425714, -0.000397118
25499.487922750002326, -0.00207385, -0.00346735, -0.00084668, -0.0105359, 0.000430389, -0.000413234
25499.521239088000584, -0.00208686, -0.00343725, -0.000858046, -0.0106024, 0.000430587, -0.00042252
25499.554555422000703, -0.00211332, -0.00341289, -0.000867237, -0.0103628, 0.000423091, -0.000409106
25499.587871755000378, -0.00213881, -0.00339893, -0.00087297, -0.00978859, 0.000406131, -0.000367793
25499.621188060002169, -0.00215069, -0.00338464, -0.000870047, -0.00942575, 0.000394902, -0.0003353
25499.654504393001844, -0.00215941, -0.00338483, -0.000871099, -0.00877975, 0.000371729, -0.000277079
25499.687820693001413, -0.0021564, -0.00339241, -0.000870749, -0.00803337, 0.000339696, -0.000206784
25499.721137060001638, -0.00215342, -0.00338575, -0.000874718, -0.00799837, 0.000337055, -0.000197492
25499.754453363999346, -0.00211647, -0.00340313, -0.000887276, -0.00712321, 0.000292304, -0.000102888
25499.787919754999166, -0.00210242, -0.00336769, -0.000889783, -0.00814654, 0.000342819, -0.000185461
25499.821236088002479, -0.00206039, -0.00337761, -0.000886733, -0.00747232, 0.000307134, -0.000125552
25499.854552393000631, -0.00200735, -0.00343129, -0.000888077, -0.00590943, 0.000231053, 1.77076e-05
25499.887868755002273, -0.00198257, -0.00346185, -0.000885042, -0.00569723, 0.00021962, 8.24882e-05
25499.921185049999622, -0.00195692, -0.00346939, -0.000901126, -0.00692758, 0.000281633, -4.44891e-06
25499.954501455002173, -0.00190458, -0.00352672, -0.000892028, -0.00686697, 0.000232576, 0.000171624
25499.987817725999776, -0.00186365, -0.00355292, -0.000899806, -0.00708648, 7.93905e-05, 0.00020523
25500.021134088001418, -0.0018641, -0.00358156, -0.000923476, -0.0038123, -0.000518704, 0.00072363
25500.054450398001791, -0.00187887, -0.00359068, -0.000950435, -0.000864386, -0.000426342, 0.00119411
25500.087766722001106, -0.00189446, -0.00357835, -0.000946976, 0.00108723, -0.000429467, 0.00313011
25500.121083088000887, -0.00189373, -0.00358471, -0.000949537, 0.00148586, -0.00239997, 0.00187056
25500.154549422000855, -0.00189483, -0.00358775, -0.000951212, -0.000457506, -0.00382799, -0.00393344
25500.18786575500053, -0.00189289, -0.00359343, -0.000955373, -0.000231454, -0.00444121, -0.0046525
25500.221182055000099, -0.0018877, -0.00360616, -0.000964835, 0.000289004, -0.00579387, -0.00283697
25500.254498387999774, -0.00188921, -0.00359708, -0.000965637, 9.17265e-05, -0.00698103, -0.00599736
25500.287814721999894, -0.00188716, -0.00358563, -0.000963704, 1.25094e-05, -0.00788065, -0.0115435
25500.321131087999674, -0.00187713, -0.00356746, -0.000952536, -0.00188971, -0.00843091, -0.0307384
25500.354447387999244, -0.00186962, -0.00357292, -0.000944296, -0.00246533, -0.00581994, -0.0381294
25500.38776372600114, -0.00185954, -0.0035852, -0.00094018, -0.00113226, -4.75895e-05, -0.0348015
25500.421080107000307, -0.00185031, -0.00358321, -0.000937497, -0.000484353, 0.00119706, -0.037153
