time, px, py, pz, qw, qx, qy, qz, vx, vy, vz
-1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
-1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
193417.70785363402683, -1.4091e-05, -4.07479e-06, 8.79748e-05, 0.732708, 0.0368492, -0.679544, -0.000281339, 0.00787119, -0.000247948, 0.00286587
193417.74116994402721, -0.000363262, 0.000682847, 0.000336565, 0.730021, 0.0289761, -0.682803, 0.00316582, 0.0168186, 0.0100161, 0.0123603
193417.77448630600702, 0.00024575, 0.00394364, 0.000909777, 0.737866, 0.0187549, -0.674647, 0.00730914, 0.0325613, 0.0460244, -0.0109867
193417.80780263902852, 0.000164314, 0.00869636, 0.00490865, 0.731328, 0.00309916, -0.681842, 0.0155385, 0.0650816, 0.103922, 0.00436607
193417.8412689390243, -0.00259366, 0.0122972, 0.00761017, 0.716525, -0.0237505, -0.69617, 0.037079, 0.0730882, 0.180973, 0.0602251
193417.87458530600998, -0.00384357, 0.0136403, 0.00804034, 0.725119, -0.0389593, -0.685464, 0.0531423, 0.0528195, 0.243351, 0.0422914
193417.90790163900238, -0.00568677, 0.0217741, 0.0138818, 0.733266, -0.0243763, -0.678199, 0.0421007, 0.0480056, 0.246303, 0.0242945
193417.94121797202388, -0.00419809, 0.028153, 0.0159039, 0.739384, -0.00755597, -0.672741, 0.0259594, 0.041945, 0.229225, -0.00353744
193417.97453427201253, -0.0112334, 0.0419757, 0.0192575, 0.719152, -0.0156095, -0.693842, 0.0340613, 0.0473118, 0.333687, 0.109202
193418.00785060602357, -0.0180776, 0.045045, 0.0176386, 0.710228, -0.00215724, -0.703523, 0.0250378, 0.0525508, 0.275248, 0.156411
193418.04116694402182, -0.0225248, 0.0468422, 0.0153555, 0.706601, 0.00247309, -0.707367, 0.0184608, 0.0485891, 0.258495, 0.178432
193418.07448330102488, -0.0299127, 0.0593498, 0.0178712, 0.70192, -0.000582255, -0.71184, 0.0243169, 0.0687457, 0.32102, 0.212271
193418.10779961501248, -0.0339026, 0.0605337, 0.0200452, 0.699734, 0.00588692, -0.714044, 0.0218857, 0.0963739, 0.264753, 0.198958
193418.14111593400594, -0.0376689, 0.070985, 0.0240455, 0.702278, 0.00672607, -0.711597, 0.0197328, 0.0790061, 0.27849, 0.174236
193418.17443230602657, -0.0377025, 0.074047, 0.0281381, 0.707044, 0.00903398, -0.706902, 0.0172312, 0.082851, 0.24101, 0.141507
193418.2078986390261, -0.0417327, 0.0839773, 0.0334367, 0.710278, 0.0085427, -0.703808, 0.00929482, 0.0864455, 0.228478, 0.133916
193418.24121494402061, -0.0402123, 0.0875729, 0.0364749, 0.714956, 0.00895512, -0.699099, 0.00431907, 0.0873027, 0.223806, 0.119786
193418.27453130602953, -0.0343273, 0.0838871, 0.0408072, 0.718303, 0.0117862, -0.695626, -0.0024323, 0.1009, 0.170334, 0.0816924
193418.30784763902193, -0.0279025, 0.0856999, 0.0408374, 0.720613, 0.0111974, -0.693213, -0.00682067, 0.0944254, 0.156866, 0.0462098
193418.34116397201433, -0.0228621, 0.0889594, 0.039738, 0.721546, 0.0109377, -0.692227, -0.00856504, 0.0782297, 0.154463, 0.021192
193418.37448031501845, -0.0160067, 0.0915938, 0.0354654, 0.722786, 0.00960609, -0.69091, -0.0114749, 0.0363642, 0.136732, -0.0123463
193418.40779661000124, -0.0185372, 0.0993962, 0.0320897, 0.72281, 0.00614658, -0.690889, -0.0134254, -0.00794351, 0.134559, 0.00610795
193418.44111294401227, -0.0194781, 0.109549, 0.0289681, 0.725845, 0.00381229, -0.687745, -0.0118737, -0.0388099, 0.163896, 0.0264097
193418.47442924801726, -0.0174743, 0.110422, 0.0291613, 0.727521, 0.00462625, -0.686007, -0.00926927, -0.0287763, 0.127109, 0.0155336
193418.50774563901359, -0.0123615, 0.114375, 0.0239503, 0.729141, 0.00211217, -0.684289, -0.00991083, -0.0547844, 0.129393, -0.00632938
193418.54121197201312, -0.00484994, 0.113686, 0.0140082, 0.732372, 0.00217586, -0.680844, -0.00882407, -0.0910784, 0.108889, -0.0364309
193418.57452827200177, 0.000471103, 0.113456, 0.0100081, 0.735913, 2.11644e-05, -0.676976, -0.0116614, -0.0943239, 0.0846482, -0.0552766
193418.60784485802287, 0.00293019, 0.118627, 0.00191455, 0.739193, -0.0019126, -0.673385, -0.0119483, -0.124875, 0.110234, -0.0501686
193418.64116097200895, 0.00921336, 0.120086, -0.00136287, 0.743731, -0.00192718, -0.668409, -0.00952509, -0.133689, 0.0857351, -0.0686125
193418.67447727202671, 0.0170545, 0.1198, -0.00360006, 0.747522, -0.00435698, -0.664152, -0.00968019, -0.133877, 0.0621661, -0.0924084
193418.70779361002496, 0.016864, 0.122042, -0.0105333, 0.751402, -0.00581553, -0.659781, -0.00718091, -0.149293, 0.0775995, -0.0769269
193418.74110994400689, 0.0188036, 0.126696, -0.0129831, 0.753641, -0.00848098, -0.657221, -0.00373522, -0.138095, 0.0636385, -0.0821978
193418.77442627202254, 0.0215686, 0.128846, -0.0201831, 0.75475, -0.0111239, -0.655918, -0.000442021, -0.142801, 0.0610371, -0.0875947
193418.80774263900821, 0.0251241, 0.133412, -0.0235084, 0.756677, -0.0133558, -0.653649, 0.0021511, -0.15011, 0.0509711, -0.104704
