time, bias_gyr_x, bias_gyr_y, bias_gyr_z, bias_acc_x, bias_acc_y, bias_acc_z
-1, 0, 0, 0, 0, 0, 0
-1, 0, 0, 0, 0, 0, 0
193417.70785363402683, 0, 0, 0, 0, 0, 0
193417.74116994402721, 0.0235827, 0.0126641, 0.00577943, 0.000117419, -0.000305839, -4.33823e-05
193417.77448630600702, 0.0349046, 0.0150477, 0.010959, -8.58702e-05, -0.000738048, 0.000547853
193417.80780263902852, 0.0403988, 0.00917939, 0.015659, -0.00741346, -0.00185431, -0.000243695
193417.8412689390243, 0.0357691, 0.00143422, 0.0148449, 0.0181688, -0.00256461, 0.000940769
193417.87458530600998, 0.0231157, -0.00438948, 0.0126414, 0.107745, -0.00226615, 0.00826984
193417.90790163900238, 0.0250658, -0.0152964, 0.01098, 0.193626, -0.00244842, 0.0146552
193417.94121797202388, 0.0260318, -0.013516, 0.0116945, 0.134036, 0.00200863, 0.0122107
193417.97453427201253, 0.0284395, -0.0174901, 0.0121338, 0.0931031, 0.00565834, 0.00811421
193418.00785060602357, 0.0251791, -0.0113618, 0.012345, 0.00309858, 0.0149962, 0.00206862
193418.04116694402182, 0.0219156, -0.00528922, 0.0103914, -0.0637309, 0.0217485, -0.00211062
193418.07448330102488, 0.0225398, -0.00518926, 0.0101504, -0.129933, 0.0272246, -0.0057952
193418.10779961501248, 0.0194693, -0.00293748, 0.00924419, -0.176208, 0.0310805, -0.0067509
193418.14111593400594, 0.0208199, -0.00500714, 0.010623, -0.129829, 0.0283041, -0.00716261
193418.17443230602657, 0.0202243, -0.00603548, 0.0104983, -0.107782, 0.0277709, -0.00876971
193418.2078986390261, 0.024297, -0.00856947, 0.0116762, -0.0719756, 0.0272101, -0.0112813
193418.24121494402061, 0.0242278, -0.00843392, 0.0112674, -0.0637393, 0.0272315, -0.0121366
193418.27453130602953, 0.024659, -0.00792012, 0.0106754, -0.0718724, 0.0266735, -0.0102937
193418.30784763902193, 0.0248324, -0.00628491, 0.0103813, -0.0605457, 0.0266817, -0.0108622
193418.34116397201433, 0.024699, -0.00431846, 0.00972788, -0.0527559, 0.0266855, -0.0111497
193418.37448031501845, 0.0258207, -0.00277001, 0.00895969, -0.0155153, 0.0312734, -0.0137146
193418.40779661000124, 0.0274943, -0.00266312, 0.00868609, 0.0199212, 0.0396096, -0.0165169
193418.44111294401227, 0.0289475, -0.00224849, 0.0088836, 0.0291943, 0.0428194, -0.0181053
193418.47442924801726, 0.0279116, -0.00276841, 0.00962954, 0.0278773, 0.0417615, -0.0157718
193418.50774563901359, 0.0281497, -0.00231573, 0.00901498, 0.0513517, 0.0547637, -0.014331
193418.54121197201312, 0.0271791, -0.000643579, 0.00825792, 0.076629, 0.0700777, -0.00735382
193418.57452827200177, 0.0266528, -0.000690085, 0.00849338, 0.0833905, 0.0749711, -0.00129492
193418.60784485802287, 0.0266551, 0.000495565, 0.00705987, 0.0931009, 0.0811648, -0.00633019
193418.64116097200895, 0.0261188, -1.72451e-05, 0.00704795, 0.0945704, 0.0821582, -0.00494928
193418.67447727202671, 0.0255115, -0.000954265, 0.00786854, 0.094687, 0.082938, 0.000600885
193418.70779361002496, 0.0251503, -0.000195782, 0.00692882, 0.0938728, 0.0803102, -0.00912032
193418.74110994400689, 0.0257179, -0.000932071, 0.00695134, 0.0901029, 0.0754516, -0.0212879
193418.77442627202254, 0.0255928, -0.000223344, 0.00587028, 0.0897662, 0.0717679, -0.0349035
193418.80774263900821, 0.0264079, -0.000680518, 0.00566503, 0.086762, 0.0674387, -0.0455759
193418.84105896702386, 0.0268044, -0.00181099, 0.00648403, 0.0916976, 0.0742483, -0.0201796
193418.87437524800771, 0.0269825, -0.00254286, 0.00689907, 0.0960725, 0.0791918, 0.00194197
193418.90784161002375, 0.0275757, -0.00359887, 0.00732523, 0.0964354, 0.0801202, 0.00795993
