time, bias_gyr_x, bias_gyr_y, bias_gyr_z, bias_acc_x, bias_acc_y, bias_acc_z
-1, 0, 0, 0, 0, 0, 0
-1, 0, 0, 0, 0, 0, 0
55629.508147911008564, 0, 0, 0, 0, 0, 0
55629.541464240006462, 0.0163821, -0.0087654, -0.0159246, -0.000210246, -0.000290945, 0.000379799
55629.574780616007047, 0.00226829, 0.0074275, -0.0213841, -0.00618089, -0.00285454, 5.15264e-05
55629.608096878007927, -0.0039754, 0.00969997, -0.0199074, -0.00532202, -0.00122862, -0.000643983
55629.641413273006037, -0.0051183, 0.0135664, -0.0136867, 0.00319373, -0.000318686, 0.00233752
55629.674879606005561, -0.00577459, 0.016303, -0.0062019, 0.0645852, -0.000603715, 0.0236812
55629.708195906008768, -0.00323189, 0.0169445, 0.00184143, 0.062507, -0.000447269, 0.023165
55629.741512273008993, -0.00415981, 0.0152907, 0.00824656, 0.0754684, -0.000190522, 0.0277098
55629.774828578003508, -0.00347543, 0.0143603, 0.00981201, 0.121037, 0.00215537, 0.0430973
55629.808144883005298, -0.00464691, 0.0151699, 0.00872888, 0.120091, 0.00190074, 0.0429841
55629.841461240008357, -0.00639383, 0.0154209, 0.00826435, 0.134764, 0.00227404, 0.0479669
55629.874777573008032, -0.00631096, 0.0139959, 0.00812551, 0.160216, 0.00482673, 0.0564161
55629.908093906007707, -0.00545283, 0.0127573, 0.00777005, 0.179695, 0.00741016, 0.0629986
55629.941410273007932, -0.00642279, 0.0117324, 0.00760788, 0.191545, 0.00926085, 0.0666935
55629.974726573003863, -0.00592328, 0.0105953, 0.00730845, 0.224586, 0.0143171, 0.077481
55630.008192944005714, -0.00609156, 0.00923899, 0.00729253, 0.224075, 0.014176, 0.0766649
55630.041509273003612, -0.00596566, 0.0100608, 0.00728701, 0.188072, 0.0103149, 0.0638361
55630.074825606003287, -0.00520628, 0.00998463, 0.00671366, 0.185445, 0.00994692, 0.0620119
55630.108141906006495, -0.00488137, 0.0113912, 0.00640537, 0.187421, 0.0105567, 0.06266
55630.141458216006868, -0.00538986, 0.0130259, 0.00701743, 0.175997, 0.00906985, 0.0583511
55630.174774573009927, -0.0063548, 0.012768, 0.0073771, 0.18034, 0.01077, 0.0515342
55630.208090940002876, -0.00607308, 0.0122287, 0.00765406, 0.186097, 0.0115802, 0.0469507
55630.241407273009827, -0.00599005, 0.0107708, 0.0074044, 0.190878, 0.0106375, 0.052552
55630.274723573005758, -0.00449846, 0.00987513, 0.00741071, 0.199432, 0.0120858, 0.0486187
55630.308039940005983, -0.00288887, 0.0102838, 0.00767694, 0.198818, 0.0132818, 0.0438134
55630.341356240009191, -0.00296428, 0.0115273, 0.00766766, 0.189171, 0.0107595, 0.0426851
55630.37482254900533, -0.0029522, 0.0123899, 0.00751684, 0.18475, 0.00936854, 0.0441462
55630.408138963008241, -0.0027821, 0.0113777, 0.00736491, 0.195407, 0.0173807, 0.0406732
55630.441455244006647, -0.00307853, 0.0112109, 0.007376, 0.202704, 0.0260965, 0.0373351
55630.474771606008289, -0.00307997, 0.0107455, 0.00722328, 0.209437, 0.0351063, 0.0347653
55630.508087882008113, -0.00302702, 0.0106707, 0.00683229, 0.2114, 0.0361759, 0.033184
55630.541404244009755, -0.00273971, 0.0104303, 0.00642756, 0.214958, 0.038012, 0.0298529
55630.574720606004121, -0.00205896, 0.00975345, 0.00605872, 0.220468, 0.043327, 0.0256836
55630.608036882003944, -0.00115927, 0.00858988, 0.00534346, 0.227602, 0.0526129, 0.0198455
55630.641353244005586, -0.00054338, 0.0072976, 0.00450608, 0.233939, 0.0623528, 0.0152557
55630.674669606007228, -0.000176463, 0.00632722, 0.00355299, 0.23914, 0.0712419, 0.0095379
55630.708135944005335, -0.000548007, 0.00565126, 0.00300244, 0.24054, 0.0746793, 0.0116418
55630.741452244008542, -0.000889959, 0.00619908, 0.00307617, 0.235723, 0.0606272, 0.014672
