time, bias_gyr_x, bias_gyr_y, bias_gyr_z, bias_acc_x, bias_acc_y, bias_acc_z
-1, 0, 0, 0, 0, 0, 0
-1, 0, 0, 0, 0, 0, 0
5634.8439791200007676, 0, 0, 0, 0, 0, 0
5634.8772954200003369, 0.00789813, 0.0376877, -0.0304148, 7.38247e-05, -4.68169e-05, 0.000355674
5634.9107617860008759, 0.0338203, 0.0189053, -0.0310368, 0.0280893, 0.0104114, 0.00776184
5634.9440780580007413, 0.0438991, 0.00363516, -0.018117, 0.0858732, 0.0247851, 0.030831
5634.9773944200005644, 0.0391317, -0.000891832, -0.0022645, 0.0845689, 0.0236981, 0.0311792
5635.0107107860003453, 0.0363109, 0.000939019, 0.00528954, 0.0381363, 0.00888787, 0.0166728
5635.0440270910003164, 0.0340951, 0.00282375, 0.00798866, 0.0039079, -0.000407556, 0.00551596
5635.0773434200009433, 0.0337224, 0.00225916, 0.00597014, 0.0339943, 0.00734632, 0.0152043
5635.1106598150008722, 0.032244, 0.0024168, 0.00411643, 0.0392411, 0.00824041, 0.0159887
5635.1439761200008434, 0.0286993, 0.00133755, 0.0024046, 0.065072, 0.013038, 0.0252283
5635.1772924240003704, 0.026407, -5.98374e-05, 0.00178158, 0.0960606, 0.0178297, 0.0398277
5635.2106087530009972, 0.0242038, -0.000668113, 0.00234298, 0.119545, 0.0210235, 0.0520183
5635.2440751200010709, 0.0228537, -0.000158306, 0.00399739, 0.128585, 0.0227629, 0.0578616
5635.2773914240005979, 0.0216653, 0.000289846, 0.0060982, 0.128559, 0.0239134, 0.0595725
5635.310707786000421, 0.0202773, 0.000443529, 0.00800762, 0.134966, 0.0251037, 0.0652649
5635.3440240910003922, 0.0189806, 0.000792054, 0.00888307, 0.139604, 0.026321, 0.0679829
5635.377340391000871, 0.0173979, 0.00137657, 0.00918647, 0.140671, 0.0265467, 0.0675825
5635.410656758001096, 0.0174901, 0.00189094, 0.00816677, 0.146902, 0.0239339, 0.0762211
5635.4439731200009192, 0.0177469, 0.00276033, 0.00660246, 0.153056, 0.0211828, 0.0866582
5635.4772894530005942, 0.0175818, 0.00295833, 0.00580224, 0.158695, 0.0191396, 0.0967548
5635.5106057860002693, 0.0176211, 0.00296154, 0.00480697, 0.165106, 0.0171337, 0.10785
5635.5439221200003885, 0.0174605, 0.0028386, 0.00370879, 0.169064, 0.0163564, 0.114534
5635.5772384530009731, 0.017445, 0.00277447, 0.00360371, 0.168476, 0.0174138, 0.114774
5635.610704767000243, 0.0173296, 0.00285482, 0.00371585, 0.163419, 0.0211258, 0.109706
5635.6440211200006161, 0.0169618, 0.00280407, 0.00396118, 0.16396, 0.0210324, 0.110517
5635.6773374530002911, 0.0165062, 0.00283119, 0.00398414, 0.165102, 0.0203089, 0.111722
5635.7106537860008757, 0.0159985, 0.0029988, 0.00406447, 0.160086, 0.026581, 0.108067
5635.7439700910008469, 0.0154345, 0.0032354, 0.0042352, 0.157476, 0.0298024, 0.106716
5635.7772864190010296, 0.0148849, 0.00338815, 0.00453459, 0.159319, 0.0264199, 0.107985
5635.8106027860003451, 0.0144526, 0.00363012, 0.00477308, 0.159357, 0.0260055, 0.109021
5635.8439191190009296, 0.0140503, 0.00367351, 0.00499915, 0.158353, 0.0280673, 0.109365
5635.8772354530010489, 0.0139756, 0.00365228, 0.00504657, 0.161687, 0.0221645, 0.109487
5635.9105517580010201, 0.013868, 0.00364988, 0.005125, 0.168821, 0.00779822, 0.108808
5635.9440181190002477, 0.0139133, 0.00350852, 0.00530599, 0.17794, -0.0105848, 0.10672
5635.9773344530003669, 0.0139155, 0.00341028, 0.00558821, 0.18491, -0.0262398, 0.106998
5636.0106507580003381, 0.0139379, 0.00332545, 0.00581367, 0.174915, -0.00875832, 0.115048
5636.0439670910009227, 0.0141832, 0.00325854, 0.00580124, 0.165447, 0.0106431, 0.118774
