time, px, py, pz, qw, qx, qy, qz, vx, vy, vz
-1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
5788.9336654730004739, -8.30048e-07, 4.10577e-07, 4.36e-05, 0.777848, 0.00832223, -0.628397, -0.00079845, 0.00578958, 0.000246167, 0.00157278
5788.9669818020011007, 0.00219119, -0.000235986, -0.000778341, 0.786408, 0.0114685, -0.617586, -0.00416062, 0.0117813, -0.00287649, -0.0503202
5789.0002981350007758, 0.00469006, -0.00129879, -0.00280341, 0.800197, 0.0353529, -0.598219, -0.0238558, 0.0203581, -0.03846, -0.0889966
5789.0336145020010008, 0.00657639, -0.00193069, -0.000414954, 0.746614, 0.0213005, -0.66485, -0.00943155, 0.00522328, -0.00312447, 0.0190682
5789.066930807000972, 0.00744231, -0.00213985, 0.00126943, 0.746789, 0.0163954, -0.664842, -0.00479359, -0.0126226, 0.0192707, 0.0229261
5789.1002471680003509, 0.00742803, -0.00259572, 0.00331749, 0.748358, 0.0202042, -0.662953, -0.00670704, -0.027955, 0.0251164, 0.0312131
5789.1335634730003221, 0.00694891, -0.00250299, 0.00262649, 0.752606, 0.0259214, -0.657876, -0.0105378, -0.0416712, 0.0327794, 0.0337117
5789.16702980700029, 0.00544303, -0.00116566, 0.00120827, 0.755758, 0.0314655, -0.653935, -0.0144334, -0.0402544, 0.0439598, 0.0364533
5789.2003461680005785, 0.00437234, 0.000343066, 2.23602e-05, 0.758393, 0.0349068, -0.650661, -0.0161683, -0.0450239, 0.0534535, 0.02156
5789.2336624730005497, 0.00386267, 0.00198089, -0.00113528, 0.759308, 0.037462, -0.64946, -0.0157992, -0.0466316, 0.064018, 0.0104993
5789.2669788070006689, 0.0037003, 0.00384957, -0.00239258, 0.760204, 0.0400684, -0.648281, -0.0147174, -0.0525133, 0.0654973, -0.00235675
5789.300295140000344, 0.00237227, 0.00638665, -0.00383547, 0.759671, 0.0404392, -0.648937, -0.0120961, -0.0568047, 0.0633813, 0.00275246
5789.3336115020010766, 0.00214942, 0.00769747, -0.00469731, 0.760256, 0.0406029, -0.648289, -0.00915235, -0.0436159, 0.050763, 0.00609171
5789.3669278350007517, 0.00206836, 0.00839914, -0.00485691, 0.760831, 0.0403248, -0.647659, -0.00691393, -0.0298699, 0.0320284, 0.00941612
5789.4002441400007228, 0.00302301, 0.00827731, -0.00469268, 0.761539, 0.0397628, -0.646874, -0.00566374, -0.0196482, 0.0141273, 0.0014952
