time px py pz qx qy qz qw
24859.014082905 0.000000 -0.000000 0.000000 -0.000000 0.000000 0.000000 1.000000
24859.114180827 -0.003209 -0.040199 0.002110 0.142009 0.004897 0.021245 0.989625
24859.214129028 -0.005327 -0.057263 0.010051 0.181624 0.008449 0.027992 0.982933
24859.314077199 -0.007630 -0.061629 0.025865 0.162685 0.010591 0.025989 0.986279
24859.414025428 -0.009778 -0.073308 0.042320 0.150932 0.010928 0.023868 0.988196
24859.514123594 -0.011766 -0.082348 0.060286 0.136662 0.009241 0.022332 0.990323
24859.614071771 -0.014010 -0.088375 0.076095 0.117134 0.009716 0.019988 0.992867
24859.714020000 -0.016857 -0.092846 0.098077 0.078250 0.006157 0.015630 0.996792
24859.814118227 -0.021677 -0.081135 0.123956 -0.003950 0.002043 0.007967 0.999958
24859.914067014 -0.027914 -0.049020 0.151234 -0.123448 -0.008790 -0.001523 0.992311
24860.014014622 -0.029044 -0.017372 0.176349 -0.199043 -0.026737 0.002284 0.979623
24860.114113627 -0.024148 0.032540 0.216070 -0.249634 -0.075510 0.035935 0.964723
24860.214062627 -0.023832 0.073132 0.243005 -0.291328 -0.110000 0.045697 0.949178
24860.314011594 -0.023143 0.112126 0.248611 -0.353955 -0.125045 0.051131 0.925454
24860.413960656 -0.024566 0.150523 0.243101 -0.414852 -0.116754 0.060528 0.900335
24860.514059656 -0.028672 0.114590 0.287924 -0.310671 -0.106061 0.056108 0.942914
24860.614008656 -0.025826 0.026663 0.332782 -0.140720 -0.086131 0.042568 0.985377
24860.713957627 -0.025899 0.012295 0.346822 -0.125905 -0.085288 0.037493 0.987658
24860.814056594 -0.028142 0.015529 0.366621 -0.143173 -0.090054 0.035257 0.984961
24860.914005655 -0.030297 0.018168 0.385341 -0.155461 -0.092110 0.033060 0.982983
24861.013954655 -0.032486 0.020690 0.402300 -0.167177 -0.092185 0.032075 0.981083
24861.113903655 -0.035981 0.024909 0.416777 -0.181171 -0.090767 0.030312 0.978785
24861.214002655 -0.041641 0.027348 0.433395 -0.196460 -0.090697 0.024639 0.975997
24861.313951655 -0.050653 0.006738 0.456030 -0.192450 -0.090700 0.012762 0.977023
24861.413900622 -0.066665 -0.024597 0.486103 -0.205844 -0.090843 -0.012248 0.974282
24861.513999655 -0.073440 -0.029089 0.502834 -0.230590 -0.081004 -0.016761 0.969529
24861.613948679 -0.077368 -0.018832 0.524418 -0.244695 -0.080988 -0.017199 0.966059
24861.713897627 -0.080438 -0.012708 0.548567 -0.260370 -0.080851 -0.018130 0.961947
24861.813846655 -0.083109 -0.004603 0.571670 -0.279724 -0.080596 -0.019401 0.956495
24861.913945655 -0.086922 0.003174 0.592895 -0.297602 -0.080111 -0.020997 0.951091
24862.013894593 -0.089185 0.010930 0.614514 -0.311766 -0.079457 -0.021774 0.946580
24862.113843622 -0.093317 0.021442 0.636148 -0.328708 -0.079487 -0.022792 0.940805
24862.213942622 -0.096695 0.032829 0.657044 -0.345237 -0.079143 -0.023359 0.934881
24862.313891655 -0.100361 0.043836 0.679453 -0.361326 -0.079290 -0.023947 0.928754
24862.413840655 -0.103997 0.043655 0.703783 -0.353590 -0.079873 -0.021995 0.931724
24862.513789627 -0.107997 0.045674 0.730927 -0.347155 -0.080813 -0.021054 0.934082
24862.613888627 -0.112857 0.058816 0.758213 -0.366890 -0.081129 -0.022286 0.926452
24862.713837622 -0.119360 0.065913 0.790978 -0.371412 -0.082211 -0.022114 0.924557
24862.813786655 -0.124256 0.082115 0.820398 -0.388217 -0.083255 -0.023366 0.917502
24862.913885655 -0.129428 0.093647 0.851196 -0.397351 -0.083846 -0.024222 0.913507
24863.013834655 -0.133817 0.101773 0.880163 -0.407316 -0.084024 -0.024780 0.909076
24863.113783655 -0.137170 0.112978 0.904154 -0.423063 -0.082847 -0.026308 0.901921
24863.213732622 -0.140666 0.124904 0.929585 -0.434756 -0.082554 -0.026807 0.896355
24863.313831622 -0.144166 0.136407 0.951835 -0.449048 -0.081878 -0.028354 0.889296
24863.413780627 -0.147680 0.152599 0.974127 -0.466833 -0.081383 -0.029766 0.880090
24863.513729627 -0.151374 0.171231 0.995003 -0.487015 -0.080304 -0.031833 0.869111
24863.613828655 -0.155225 0.191962 1.014956 -0.506695 -0.079808 -0.033867 0.857755
24863.713777655 -0.158813 0.211234 1.035801 -0.523517 -0.079101 -0.036041 0.847569
24863.813726655 -0.162674 0.227933 1.056276 -0.535751 -0.078470 -0.037229 0.839897
24863.913675626 -0.166415 0.246690 1.075217 -0.550529 -0.077853 -0.038662 0.830278
24864.013774655 -0.169258 0.265159 1.093429 -0.564215 -0.077889 -0.038917 0.821024
24864.113723655 -0.172385 0.279960 1.112542 -0.576814 -0.077747 -0.039819 0.812192
24864.213672655 -0.174595 0.290165 1.130264 -0.590838 -0.077731 -0.040666 0.802007
24864.313771598 -0.176178 0.291087 1.144067 -0.608534 -0.076151 -0.043206 0.788683
24864.413720655 -0.177097 0.291125 1.157184 -0.629925 -0.075524 -0.044997 0.771665
24864.513669626 -0.179020 0.285269 1.170015 -0.654084 -0.073921 -0.047519 0.751300
24864.613618622 -0.181313 0.278357 1.183044 -0.679194 -0.072789 -0.050012 0.728626
24864.713717655 -0.182862 0.276208 1.195934 0.706579 0.072094 0.052508 -0.701991
24864.813666655 -0.184505 0.273343 1.206985 0.728890 0.071338 0.054360 -0.678731
24864.913615612 -0.185879 0.271260 1.217247 0.748749 0.069834 0.055913 -0.656789
24865.013714636 -0.187224 0.268368 1.223815 0.760946 0.069365 0.056904 -0.642582
24865.113663693 -0.187829 0.263679 1.230958 0.769516 0.069234 0.057351 -0.632268
24865.213612621 -0.189250 0.251904 1.238104 0.771989 0.069546 0.057670 -0.629182
24865.313561655 -0.191256 0.233601 1.244816 0.775572 0.068822 0.059213 -0.624696
24865.413660655 -0.192365 0.220964 1.252041 0.777981 0.068806 0.059290 -0.621688
24865.513609626 -0.191973 0.209583 1.256203 0.777113 0.068935 0.058696 -0.622814
24865.613558621 -0.193542 0.194310 1.264664 0.780245 0.068551 0.059143 -0.618887
24865.713657626 -0.193432 0.183003 1.268431 0.781793 0.068453 0.059151 -0.616940
24865.813606626 -0.192996 0.170617 1.272560 0.781280 0.068580 0.059040 -0.617586
24865.913555655 -0.195777 0.152940 1.278455 0.780263 0.069082 0.058790 -0.618839
24866.013504621 -0.196156 0.140530 1.282417 0.782365 0.069121 0.058896 -0.616164
24866.113603655 -0.196407 0.127978 1.285845 0.782450 0.069401 0.058750 -0.616039
24866.213552598 -0.197109 0.112943 1.288899 0.779485 0.069561 0.058506 -0.619791
24866.313501655 -0.196495 0.104891 1.290516 0.777723 0.069934 0.057999 -0.622007
24866.413600655 -0.195680 0.098810 1.291412 0.775716 0.070648 0.057209 -0.624501
24866.513549655 -0.195913 0.092107 1.291768 0.774642 0.070684 0.057280 -0.625821
24866.613498621 -0.195249 0.086229 1.291993 0.772554 0.071257 0.056738 -0.628382
24866.713447655 -0.194714 0.072490 1.292527 0.768250 0.072188 0.055844 -0.633611
24866.813546621 -0.196053 0.046839 1.296661 0.767514 0.071387 0.057650 -0.634431
24866.913495621 -0.196951 0.026845 1.300456 0.766278 0.071823 0.057449 -0.635892
24867.013444655 -0.197556 0.008718 1.305004 0.764582 0.072559 0.056695 -0.637915
24867.113543626 -0.199080 -0.013460 1.306914 0.760614 0.073286 0.055953 -0.642624
24867.213492626 -0.199246 -0.029653 1.310431 0.761461 0.073346 0.056125 -0.641598
24867.313441655 -0.199566 -0.044479 1.310673 0.761232 0.073459 0.055671 -0.641895
24867.413390621 -0.200039 -0.059968 1.312495 0.761436 0.073521 0.055660 -0.641647
24867.513489654 -0.198819 -0.078079 1.316635 0.761972 0.073448 0.055680 -0.641018
24867.613438621 -0.196905 -0.098139 1.321475 0.762464 0.073142 0.056114 -0.640430
24867.713387626 -0.195376 -0.119061 1.326792 0.762977 0.073369 0.056132 -0.639791
24867.813486654 -0.195933 -0.145390 1.332802 0.763652 0.073216 0.055803 -0.639031
24867.913435621 -0.194789 -0.162422 1.335159 0.764205 0.072904 0.055951 -0.638393
24868.013384654 -0.194196 -0.181569 1.338184 0.763911 0.072583 0.055720 -0.638801
24868.113333654 -0.193067 -0.204081 1.338114 0.757016 0.073293 0.054695 -0.646965
24868.213432631 -0.192832 -0.229034 1.337945 0.749595 0.073400 0.054437 -0.655558
24868.313381654 -0.192570 -0.255115 1.342091 0.747837 0.073961 0.053876 -0.657546
24868.413330621 -0.191892 -0.275692 1.346400 0.749443 0.073000 0.053810 -0.655829
24868.513429654 -0.191852 -0.293091 1.347513 0.749311 0.072429 0.053816 -0.656041
24868.613378654 -0.191627 -0.311369 1.349946 0.749472 0.072474 0.053786 -0.655855
24868.713327654 -0.192030 -0.330655 1.353380 0.749915 0.071676 0.054416 -0.655384
24868.813276654 -0.191902 -0.350188 1.356258 0.749623 0.071263 0.054990 -0.655716
24868.913375635 -0.191893 -0.369137 1.358596 0.750135 0.070693 0.055216 -0.655172
24869.013324621 -0.191548 -0.388158 1.361488 0.750456 0.070120 0.055529 -0.654840
24869.113273654 -0.190208 -0.410802 1.364307 0.750930 0.069633 0.055670 -0.654337
24869.213372654 -0.190696 -0.426722 1.366757 0.751139 0.069505 0.055789 -0.654100
24869.313321626 -0.190268 -0.445663 1.369983 0.751204 0.069457 0.055930 -0.654018
24869.413270654 -0.188959 -0.463557 1.372984 0.751554 0.069648 0.055264 -0.653653
24869.513369654 -0.188464 -0.483113 1.376162 0.751704 0.069504 0.055601 -0.653467
24869.613318621 -0.188626 -0.501539 1.379431 0.751880 0.069799 0.055696 -0.653224
24869.713267654 -0.187851 -0.527690 1.387433 0.751874 0.069875 0.055330 -0.653255
24869.813216626 -0.187295 -0.545273 1.390662 0.752051 0.069875 0.055653 -0.653023
24869.913315621 -0.186789 -0.563567 1.394084 0.752137 0.070238 0.055448 -0.652903
24870.013264621 -0.186604 -0.581420 1.396942 0.752357 0.070603 0.055051 -0.652643
24870.113213621 -0.185857 -0.598941 1.398774 0.752650 0.070928 0.054670 -0.652302
24870.213312635 -0.184209 -0.614513 1.400807 0.752298 0.072938 0.054015 -0.652542
24870.313261654 -0.178681 -0.630640 1.406723 0.751539 0.081954 0.049198 -0.652727
24870.413210654 -0.170005 -0.635343 1.405760 0.750083 0.090307 0.037754 -0.654060
24870.513159592 -0.160978 -0.649579 1.410138 0.749561 0.099749 0.027190 -0.653811
24870.613258654 -0.153291 -0.661747 1.411041 0.747634 0.107330 0.017949 -0.655135
24870.713207621 -0.147229 -0.675679 1.411966 0.745417 0.113205 0.011321 -0.656819
24870.813156621 -0.142069 -0.689356 1.413892 0.745277 0.118683 0.004898 -0.656088
24870.913255673 -0.139608 -0.706759 1.417209 0.745714 0.121052 0.002668 -0.655172
24871.013204597 -0.137938 -0.724051 1.419829 0.746097 0.122238 0.001740 -0.654518
24871.113153621 -0.137889 -0.743132 1.422752 0.746611 0.121666 0.002270 -0.654037
24871.213102668 -0.137604 -0.760700 1.425174 0.746257 0.122328 0.002510 -0.654317
24871.313202430 -0.136936 -0.777002 1.427501 0.746692 0.123386 0.000922 -0.653625
24871.413150654 -0.137533 -0.795444 1.430037 0.747016 0.123331 0.001614 -0.653264
24871.513099654 -0.137074 -0.812461 1.432601 0.747464 0.124279 0.000609 -0.652574
24871.613198621 -0.137124 -0.829445 1.434138 0.748443 0.123311 -0.000409 -0.651635
24871.713147625 -0.140825 -0.853907 1.438524 0.749189 0.119050 0.006376 -0.651538
24871.813096654 -0.151204 -0.888350 1.446169 0.748788 0.108550 0.028528 -0.653238
24871.913045620 -0.173212 -0.938673 1.461355 0.745474 0.087271 0.072929 -0.656760
24872.013144620 -0.172386 -0.969338 1.456608 0.737325 0.068831 0.082631 -0.666923
24872.113093654 -0.172431 -0.982517 1.482470 0.753464 0.074824 0.090040 -0.646983
24872.213046535 -0.167006 -0.985682 1.502700 0.753743 0.106180 0.086352 -0.642760
24872.313141654 -0.165785 -0.998973 1.508266 0.753734 0.111361 0.086829 -0.641828
24872.413090625 -0.169319 -1.024542 1.511667 0.754285 0.102911 0.091177 -0.641989
24872.513039620 -0.169567 -1.043056 1.514565 0.754812 0.102326 0.090269 -0.641592
24872.612988654 -0.168417 -1.055057 1.519104 0.755018 0.108005 0.087688 -0.640776
24872.713087654 -0.167670 -1.068522 1.523548 0.755555 0.112078 0.085988 -0.639673
24872.813036620 -0.169066 -1.091368 1.524703 0.754916 0.106900 0.087713 -0.641078
24872.912985620 -0.169114 -1.107807 1.529274 0.755234 0.108150 0.088322 -0.640410
24873.013084654 -0.167759 -1.124002 1.535273 0.757105 0.110536 0.086232 -0.638074
24873.113033654 -0.169395 -1.145662 1.534866 0.758261 0.104472 0.084421 -0.637965
24873.212982620 -0.173109 -1.169203 1.534121 0.762540 0.094221 0.079229 -0.635121
24873.312931620 -0.178144 -1.194459 1.524687 0.763376 0.071441 0.073693 -0.637748
24873.413030620 -0.177014 -1.215969 1.522220 0.765427 0.064540 0.064027 -0.637069
24873.512979654 -0.177139 -1.231853 1.525827 0.765931 0.063476 0.065619 -0.636407
24873.612928654 -0.177977 -1.245056 1.529728 0.769517 0.074265 0.052341 -0.632130
24873.713027592 -0.178535 -1.259748 1.537869 0.776292 0.073076 0.053662 -0.623819
24873.812976620 -0.178187 -1.273317 1.547974 0.786822 0.071905 0.055586 -0.610451
