time px py pz qx qy qz qw
193419.144055972 0.000000 -0.000000 -0.000000 0.000000 -0.000000 0.000000 1.000000
193419.244154972 0.000510 -0.007947 0.003406 0.010003 0.000474 -0.002848 0.999946
193419.344103972 0.005326 -0.012782 0.004514 0.007077 -0.007753 -0.014138 0.999845
193419.444052972 0.013880 -0.016075 0.012044 0.006216 -0.015767 -0.027596 0.999475
193419.544001939 0.023518 -0.016122 0.021119 0.013392 -0.031630 -0.036834 0.998731
193419.644100972 0.033984 -0.013889 0.028032 0.015485 -0.044410 -0.051844 0.997547
193419.744049939 0.048431 -0.006846 0.031394 0.057742 -0.069971 -0.070150 0.993403
193419.843998972 0.055506 0.003866 0.028845 0.113522 -0.074756 -0.078603 0.987596
193419.944097972 0.057870 0.015956 0.023808 0.122456 -0.074550 -0.079141 0.986501
193420.044046972 0.058744 0.030195 0.019504 0.081548 -0.074044 -0.074891 0.991090
193420.143995972 0.054171 0.043060 0.012763 0.023779 -0.075642 -0.065287 0.994711
193420.243944972 0.041129 0.051883 0.004284 -0.027883 -0.058237 -0.048769 0.996721
193420.344043972 0.025649 0.051846 -0.007633 -0.119517 -0.050314 -0.029432 0.991120
193420.443992972 0.011334 0.044063 -0.014126 -0.147288 -0.041428 -0.009597 0.988179
193420.543941972 -0.003378 0.033798 -0.015773 -0.137210 -0.024317 0.006296 0.990223
193420.644040972 -0.015210 0.025425 -0.008133 -0.060418 -0.009703 0.020314 0.997919
193420.743989943 -0.019559 0.019681 0.003554 0.047374 -0.002273 0.032699 0.998339
193420.843938939 -0.016522 0.008202 0.004159 0.007691 -0.004509 0.027630 0.999578
193420.943887972 -0.010191 -0.001475 0.010680 -0.003076 -0.008762 0.020089 0.999755
193421.043986972 -0.001065 -0.005330 0.018129 -0.011793 -0.018425 0.009351 0.999717
193421.143935972 0.011597 -0.004305 0.023722 -0.018416 -0.040303 -0.005223 0.999004
193421.243884938 0.023871 0.002051 0.031413 -0.050249 -0.055658 -0.021165 0.996960
193421.343983972 0.033594 0.008778 0.031987 -0.032870 -0.061276 -0.029749 0.997136
193421.443932943 0.041537 0.016378 0.032042 -0.037436 -0.066254 -0.038523 0.996356
193421.543881972 0.047518 0.024323 0.029429 -0.039456 -0.070355 -0.048060 0.995582
193421.643830972 0.051955 0.034685 0.025168 -0.048748 -0.073883 -0.052551 0.994688
193421.743929972 0.050513 0.044693 0.021375 -0.048793 -0.069262 -0.051192 0.995089
193421.843878972 0.045849 0.050313 0.015209 -0.068852 -0.065423 -0.046053 0.994414
193421.943827972 0.037365 0.056276 0.007920 -0.081325 -0.058210 -0.037043 0.994297
193422.043926972 0.029436 0.059728 0.000417 -0.091028 -0.052868 -0.027613 0.994061
193422.143875972 0.021365 0.059445 -0.007560 -0.100233 -0.048460 -0.017771 0.993624
193422.243824929 0.011191 0.058264 -0.013819 -0.106515 -0.037764 -0.008145 0.993560
193422.343773972 0.002835 0.052000 -0.018082 -0.117898 -0.029818 0.000132 0.992578
