time, px, py, pz, qw, qx, qy, qz, vx, vy, vz
-1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
-1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
5634.8439791200007676, 6.96728e-07, 1.13881e-06, 9.47752e-05, 0.817726, 0.1563, -0.55398, 0.000625603, 0.0099393, 0.00308027, 0.0034132
5634.8772954200003369, 0.00127709, -0.000477979, 0.000986972, 0.822535, 0.156874, -0.54665, -0.001075, 0.0483947, -0.00264062, -0.0123676
5634.9107617860008759, 0.00294931, -0.00091382, 0.00148508, 0.797739, 0.194428, -0.570396, -0.0214284, 0.0387892, -0.0561514, 0.0228669
5634.9440780580007413, 0.00546885, -0.00167734, 0.0015207, 0.819213, 0.166193, -0.548813, -0.00863782, 0.0248849, -0.0488992, -0.026637
5634.9773944200005644, 0.00687613, -0.00281205, 0.00218957, 0.822035, 0.146123, -0.550362, 0.0028842, 0.0299261, -0.0148348, -0.0182999
5635.0107107860003453, 0.00767039, -0.00339893, 0.00274337, 0.821071, 0.144609, -0.552203, 0.00136144, 0.0402755, -0.00585987, 0.00328942
5635.0440270910003164, 0.00798601, -0.00406688, 0.00339403, 0.818974, 0.147372, -0.554574, -0.00337126, 0.0430917, -0.00593753, 0.0213251
5635.0773434200009433, 0.00758433, -0.004539, 0.00381826, 0.816408, 0.145873, -0.55873, -0.00448016, 0.0163019, 0.000471239, 0.027276
5635.1106598150008722, 0.00763405, -0.00448169, 0.00415767, 0.81707, 0.141583, -0.558877, -0.00252694, 0.0124413, 0.0279152, 0.0152366
5635.1439761200008434, 0.00795963, -0.00393421, 0.00448377, 0.817799, 0.139838, -0.558256, 0.000255643, 0.00976535, 0.0385118, 0.00208588
5635.1772924240003704, 0.00891161, -0.00366607, 0.00473609, 0.819482, 0.140107, -0.555709, 0.00264571, 0.010409, 0.0261799, -0.00977763
5635.2106087530009972, 0.00996359, -0.00371706, 0.00534878, 0.821067, 0.140921, -0.553142, 0.00495608, 0.028254, 0.00928422, -0.0062723
5635.2440751200010709, 0.0113898, -0.00413673, 0.00642036, 0.822883, 0.14235, -0.550064, 0.00539578, 0.0502396, -0.0183846, -0.00402672
5635.2773914240005979, 0.0124063, -0.0049922, 0.00742065, 0.823065, 0.143122, -0.549598, 0.00470294, 0.0548506, -0.0312564, 0.00157189
5635.310707786000421, 0.0130064, -0.00606661, 0.0080396, 0.822751, 0.143441, -0.549995, 0.00328563, 0.0456196, -0.0414826, 0.00644704
5635.3440240910003922, 0.013679, -0.00683941, 0.00882201, 0.82308, 0.141744, -0.549948, 0.0020893, 0.0483447, -0.0349946, 0.0064298
5635.377340391000871, 0.0139052, -0.00681046, 0.0100099, 0.822528, 0.138439, -0.55161, 0.0028466, 0.0519188, -0.00216727, 0.00756455
5635.410656758001096, 0.0137877, -0.0058383, 0.0107589, 0.821248, 0.135605, -0.554201, 0.00495881, 0.0319069, 0.0318231, 0.00124354
5635.4439731200009192, 0.0137098, -0.00444003, 0.0112861, 0.820425, 0.13424, -0.555715, 0.00796049, 0.0169359, 0.0490356, -0.00278601
5635.4772894530005942, 0.0136466, -0.00321454, 0.0114912, 0.820006, 0.134328, -0.556274, 0.0102908, -0.00440272, 0.0417229, -0.00273663
5635.5106057860002693, 0.0136325, -0.0022139, 0.011145, 0.820382, 0.135042, -0.555527, 0.0112642, -0.0152553, 0.0339744, -0.00108313
5635.5439221200003885, 0.0134712, -0.0013402, 0.0114927, 0.821034, 0.134602, -0.55464, 0.0126117, 0.0101047, 0.0286676, 0.0145771
5635.5772384530009731, 0.0131391, -0.000611406, 0.0128155, 0.821257, 0.132423, -0.554802, 0.0139966, 0.0357517, 0.0199654, 0.0265612
5635.610704767000243, 0.0132814, 0.000382517, 0.0141143, 0.820789, 0.128913, -0.556275, 0.0156589, 0.0525316, 0.0284123, 0.0184574
5635.6440211200006161, 0.013353, 0.00164699, 0.0148654, 0.819626, 0.124979, -0.558821, 0.0176763, 0.0371541, 0.0365292, 0.00255233
5635.6773374530002911, 0.0136454, 0.00315892, 0.0157943, 0.819028, 0.121501, -0.560397, 0.0196493, 0.043386, 0.0483586, -0.00419584
5635.7106537860008757, 0.0139472, 0.00446811, 0.0179936, 0.817912, 0.118295, -0.562622, 0.0219587, 0.0819867, 0.0502123, 0.0118063
5635.7439700910008469, 0.0132388, 0.00566444, 0.0207469, 0.81549, 0.114378, -0.566801, 0.0251087, 0.0939211, 0.0525781, 0.0314348
5635.7772864190010296, 0.0127165, 0.00653224, 0.0238026, 0.813526, 0.110043, -0.570293, 0.0288359, 0.102582, 0.0380164, 0.0433973
5635.8106027860003451, 0.0128754, 0.00701742, 0.0276223, 0.812152, 0.104494, -0.57314, 0.0316432, 0.120762, 0.0179248, 0.04955
5635.8439191190009296, 0.0137173, 0.0077813, 0.0318558, 0.809916, 0.0990985, -0.5772, 0.032488, 0.135907, 0.016666, 0.0368893
5635.8772354530010489, 0.0153263, 0.00844917, 0.0348062, 0.807732, 0.095222, -0.580932, 0.0319375, 0.112133, 0.00590768, 0.00740514
5635.9105517580010201, 0.0169516, 0.00845449, 0.0360293, 0.806571, 0.0918921, -0.583196, 0.0297051, 0.0677145, -0.0212437, -0.01193
5635.9440181190002477, 0.0199757, 0.00786163, 0.0367991, 0.80729, 0.0870822, -0.583084, 0.0267106, 0.0599163, -0.0487643, -0.0367895
