time, bias_gyr_x, bias_gyr_y, bias_gyr_z, bias_acc_x, bias_acc_y, bias_acc_z
-1, 0, 0, 0, 0, 0, 0
-1, 0, 0, 0, 0, 0, 0
5634.8439791200007676, 0, 0, 0, 0, 0, 0
5634.8772954200003369, -0.0128995, 0.0171676, -0.0192403, -0.000230053, 0.000231968, 0.000296045
5634.9107617860008759, 0.00209641, -0.000814104, -0.0201064, 0.0165403, 0.00680013, 0.00478404
5634.9440780580007413, 0.0089132, -0.0115708, -0.00987754, 0.0401448, 0.0126898, 0.0152788
5634.9773944200005644, 0.00312071, -0.011475, 0.00471617, 0.0251778, 0.00669949, 0.0102665
5635.0107107860003453, -0.00038425, -0.00723695, 0.0151794, 0.00605204, 0.000305642, 0.00328206
5635.0440270910003164, -0.00137359, -0.00443652, 0.0152121, 0.00549901, 0.000250076, 0.0029615
5635.0773434200009433, -0.00188772, -0.00378619, 0.0126101, 0.0215386, 0.00431759, 0.00896249
5635.1106598150008722, -0.00381855, -0.00391634, 0.00848939, 0.0264114, 0.00542555, 0.0106575
5635.1439761200008434, -0.0054275, -0.00443859, 0.00544108, 0.0339354, 0.00736445, 0.013408
5635.1772924240003704, -0.00676846, -0.00547092, 0.00341862, 0.0419343, 0.00944599, 0.0165632
5635.2106087530009972, -0.00771088, -0.00563265, 0.00255399, 0.0388055, 0.00871023, 0.0156235
5635.2440751200010709, -0.00748931, -0.00516672, 0.00294685, 0.032881, 0.00729333, 0.0136389
5635.2773914240005979, -0.00703116, -0.00448516, 0.00334832, 0.0356607, 0.00794285, 0.0147551
5635.310707786000421, -0.00622962, -0.00377184, 0.00332692, 0.0451191, 0.0102107, 0.0184672
5635.3440240910003922, -0.0050899, -0.00312525, 0.00267267, 0.0497369, 0.0113388, 0.0203573
5635.377340391000871, -0.00434281, -0.00228819, 0.00174156, 0.0491062, 0.011109, 0.0201636
5635.410656758001096, -0.00391361, -0.00173629, 0.000771871, 0.0595618, 0.0136205, 0.0243072
5635.4439731200009192, -0.00372778, -0.00135241, -0.000152515, 0.066074, 0.0151913, 0.0268654
5635.4772894530005942, -0.00365396, -0.00125955, -0.00034146, 0.0706657, 0.0162987, 0.0287063
5635.5106057860002693, -0.00360248, -0.00141653, -0.000364096, 0.0758529, 0.0174687, 0.0307534
5635.5439221200003885, -0.0032216, -0.00136032, -0.000805275, 0.0735572, 0.0170665, 0.0299265
5635.5772384530009731, -0.00264748, -0.00106961, -0.00106899, 0.0677843, 0.0159582, 0.0277473
5635.610704767000243, -0.00236993, -0.000520926, -0.00128736, 0.0680011, 0.0160439, 0.0279016
5635.6440211200006161, -0.00226083, -0.000185249, -0.00132086, 0.0793897, 0.0182391, 0.0323313
5635.6773374530002911, -0.00226976, 9.88785e-05, -0.00135953, 0.0824676, 0.0187849, 0.033547
5635.7106537860008757, -0.00224518, 0.000674276, -0.00147356, 0.0734482, 0.0173136, 0.0301493
5635.7439700910008469, -0.00228564, 0.00111762, -0.00154165, 0.0750835, 0.0174719, 0.0307017
5635.7772864190010296, -0.00218569, 0.00143701, -0.00161422, 0.0807264, 0.0182261, 0.0327104
5635.8106027860003451, -0.00203263, 0.00170833, -0.00131635, 0.0802827, 0.0182565, 0.0325978
5635.8439191190009296, -0.00187828, 0.00199258, -0.000982782, 0.0783616, 0.0181373, 0.0320354
5635.8772354530010489, -0.00170882, 0.0022834, -0.000662315, 0.0901005, 0.018975, 0.0358408
5635.9105517580010201, -0.00143693, 0.00252297, -0.00029791, 0.108314, 0.0198482, 0.0414678
5635.9440181190002477, -0.00117857, 0.00269679, -9.83132e-05, 0.115752, 0.0201532, 0.0438804
5635.9773344530003669, -0.000888765, 0.00281487, 4.55705e-05, 0.120783, 0.0203262, 0.0458363
5636.0106507580003381, -0.000861579, 0.00285268, 9.44847e-05, 0.103301, 0.0199964, 0.0412317
