time, px, py, pz, qw, qx, qy, qz
-1, 0.0151155, -0.00815406, -0.0110363, -0.000383946, 0.707789, -0.706423, 0.00119798
-1, 0.0151155, -0.00815406, -0.0110363, -0.000383946, 0.707789, -0.706423, 0.00119798
5634.836979120000251, 0.0151155, -0.00815406, -0.0110363, -0.000383946, 0.707789, -0.706423, 0.00119798
5634.8702954199998203, 0.0166445, -0.0105847, -0.00901553, -0.000349018, 0.707754, -0.706458, 0.00130234
5634.9037617860003593, 0.0114181, 0.00184688, 0.00142842, -0.000372521, 0.707848, -0.706365, 0.000861305
5634.9370780580002247, 0.0160267, 0.0216456, -0.00524721, -0.000328876, 0.708141, -0.706071, -0.000112807
5634.9703944200000478, 0.00791371, 0.0189756, -0.00205362, -0.000170262, 0.708171, -0.706041, -0.000477776
5635.0037107859998287, -0.00123907, 0.0283287, -0.00204047, -0.000348956, 0.708054, -0.706157, -0.00109285
5635.0370270909997998, 0.00471595, 0.0360496, -0.00114895, -0.000679525, 0.708107, -0.706104, -0.00124143
5635.0703434200004267, 0.00931057, 0.0249375, 0.00753467, -0.000378289, 0.708172, -0.70604, -0.00074948
5635.1036598150003556, 0.00831362, 0.0202952, 0.000753289, -0.000183149, 0.708194, -0.706018, -0.000691965
5635.1369761200003268, 0.0107064, 0.0187046, -0.0111384, -0.000390162, 0.708057, -0.706154, -0.000722092
5635.1702924239998538, 0.00313892, 0.0229213, -0.00978833, -0.000687265, 0.707596, -0.706616, -0.00119271
5635.2036087530004806, -0.00491536, 0.0222476, -0.00308648, -0.000710857, 0.7076, -0.706611, -0.00133563
5635.2370751200005543, -0.00796143, 0.0240159, 0.00467879, -0.000798116, 0.708047, -0.706163, -0.00130705
5635.2703914240000813, 0.000405987, 0.0268678, 0.0056354, -0.00124148, 0.708552, -0.705657, -0.00116804
5635.3037077859999044, 0.00984835, 0.023221, 0.00822041, -0.00153545, 0.709125, -0.70508, -0.000800373
5635.3370240909998756, 0.0129104, 0.0225514, 0.00510183, -0.00171322, 0.70938, -0.704823, -0.000732732
5635.3703403910003544, 0.0134182, 0.0239877, 0.00734606, -0.00190116, 0.709132, -0.705073, -0.000853773
5635.4036567580005794, 0.0176851, 0.0286337, 0.0141607, -0.00251793, 0.708864, -0.70534, -0.00103094
5635.4369731200004026, 0.0228951, 0.0354792, 0.0132581, -0.00339644, 0.708512, -0.70569, -0.00134169
5635.4702894530000776, 0.0201591, 0.0409864, 0.0130294, -0.00387245, 0.708005, -0.706195, -0.00157403
5635.5036057859997527, 0.0184459, 0.0395508, 0.0110517, -0.00416034, 0.707234, -0.706965, -0.00164429
5635.5369221199998719, 0.0179909, 0.0388693, 0.0133756, -0.00425038, 0.706625, -0.707573, -0.00171168
5635.5702384530004565, 0.013769, 0.0341978, 0.0074316, -0.00361714, 0.706214, -0.707988, -0.00152396
5635.6037047669997264, 0.0128714, 0.0305103, -0.00253689, -0.00306679, 0.705939, -0.708265, -0.0010762
