time, bias_gyr_x, bias_gyr_y, bias_gyr_z, bias_acc_x, bias_acc_y, bias_acc_z
-1, 0, 0, 0, 0, 0, 0
-1, 0, 0, 0, 0, 0, 0
5714.0482591529998899, 0, 0, 0, 0, 0, 0
5714.081575463000263, 0.0327689, 0.0193095, 0.00559204, -0.000351292, 0.000299622, 1.09814e-05
5714.1148917910004457, 0.0321097, 0.0358269, -0.00364351, -0.0024263, -0.000147247, -0.000616858
5714.148208177000015, 0.0313527, 0.0344313, -0.0119917, -0.00157236, 1.19295e-05, -0.000758884
5714.18152445800024, 0.0277532, 0.0302598, -0.0157576, 0.00334944, 0.000939419, 0.000682402
5714.2149908199999118, 0.0262614, 0.0241638, -0.0107538, 0.0208795, 0.00288107, 0.0063641
5714.2483071200003906, 0.0283428, 0.0185809, -0.00621826, 0.0467041, 0.00539612, 0.0145325
5714.2816234860001714, 0.0291371, 0.0150201, -0.00730304, 0.059401, 0.00666383, 0.0187174
5714.3149398200002906, 0.0278132, 0.0132337, -0.00938602, 0.0551294, 0.0061603, 0.0178029
5714.3482561239998176, 0.0252005, 0.0115983, -0.00851609, 0.0497113, 0.00552989, 0.0166515
5714.3815724530004445, 0.0246815, 0.0109668, -0.00824134, 0.0647903, 0.00730744, 0.0212803
5714.41488881999976, 0.0249231, 0.0105223, -0.00999432, 0.0913227, 0.0104831, 0.0293068
5714.4482051200002388, 0.0249313, 0.0107608, -0.0124488, 0.112453, 0.013208, 0.0356785
5714.4815214860000196, 0.0238233, 0.0104354, -0.0148137, 0.131607, 0.0157333, 0.0415439
5714.5148378200001389, 0.0213378, 0.0103588, -0.0151244, 0.148991, 0.0181681, 0.0469446
5714.5481541199997082, 0.0170868, 0.00966841, -0.0122084, 0.153702, 0.0189325, 0.048621
5714.5816204580005433, 0.0142765, 0.00893548, -0.0101777, 0.147398, 0.0179585, 0.0469479
5714.6149368200003664, 0.0111223, 0.00796162, -0.00703282, 0.144705, 0.0175365, 0.0462451
5714.6482530960001895, 0.00951917, 0.00727559, -0.00504076, 0.140852, 0.0168025, 0.0451551
5714.6815694580000127, 0.00951977, 0.00747531, -0.00568512, 0.135189, 0.0156848, 0.0436104
5714.7148858199998358, 0.00925993, 0.00833003, -0.00594583, 0.143681, 0.0171901, 0.0460095
5714.7482021100004204, 0.0105522, 0.00898755, -0.00734736, 0.143541, 0.0171675, 0.0461881
5714.7815184580003915, 0.0113132, 0.0100532, -0.00965789, 0.151952, 0.0188991, 0.0487204
5714.8148347860005742, 0.011387, 0.0113259, -0.012645, 0.166226, 0.0219247, 0.0526897
5714.8481511529998897, 0.0114488, 0.0123273, -0.0174277, 0.180637, 0.0248279, 0.0568612
5714.8814674289997129, 0.0108552, 0.0130299, -0.0201285, 0.188507, 0.0265053, 0.0587119
5714.9149337859998923, 0.00929867, 0.0135112, -0.0210243, 0.185143, 0.0260993, 0.0574898
5714.9482501530001173, 0.00837166, 0.0136012, -0.020422, 0.184472, 0.0260572, 0.0571732
5714.9815664580000885, 0.00798083, 0.0131052, -0.0183128, 0.182809, 0.0259494, 0.0560093
5715.0148828199999116, 0.00783082, 0.0122118, -0.0145739, 0.181401, 0.0260676, 0.0548157
5715.0481990959997347, 0.00842654, 0.0115997, -0.0119353, 0.173117, 0.0247931, 0.0531211
5715.0815154860001712, 0.00839994, 0.0103969, -0.00833974, 0.149882, 0.0211399, 0.0477216
5715.1148318200002905, 0.0073577, 0.00920207, -0.00523854, 0.142301, 0.0202116, 0.0453598
5715.1481481199998598, 0.00767553, 0.00946352, -0.00574732, 0.148235, 0.0215611, 0.0460804
5715.1814644579999367, 0.0077171, 0.00886751, -0.00789016, 0.143451, 0.0213582, 0.0449994
5715.2147808239997175, 0.00772617, 0.00838013, -0.0102742, 0.148992, 0.0225416, 0.045232
5715.2480971240001963, 0.00766061, 0.00778739, -0.0109079, 0.149012, 0.0229684, 0.0444847
