time, px, py, pz, qw, qx, qy, qz, vx, vy, vz
-1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
5788.9266654729999573, -1.23667e-19, -1.42937e-21, 1.23574e-05, 0.777872, 0.00802412, -0.628371, -0.000413846, 0.00296154, 3.9394e-05, 0.000636707
5788.9599818020005841, -1.79349e-05, 3.34329e-05, 0.000393047, 0.780448, 0.00959403, -0.625143, -0.00240224, 0.0213306, 0.00388763, 0.00485975
5788.9932981350002592, 0.00116163, -0.0002535, 0.00152155, 0.800877, 0.0232786, -0.5982, -0.0145456, 0.0575762, -0.0071232, -0.0337581
5789.0266145020004842, 0.00120279, -0.000308864, 0.00313753, 0.785221, 0.0223897, -0.618659, -0.0137139, 0.0517615, 0.00432134, -0.0101866
5789.0599308070004554, -0.00196609, 0.00174797, 0.00404391, 0.767843, 0.0138522, -0.640454, -0.00662205, 0.0138251, 0.0451576, 0.0404812
5789.0932471679998343, -0.0044452, 0.00340061, 0.00379056, 0.764461, 0.0159298, -0.644428, -0.0076781, -0.0185129, 0.0608204, 0.052917
5789.1265634729998055, -0.00423224, 0.00332607, 0.00310518, 0.768428, 0.0242918, -0.639328, -0.0137475, -0.0287043, 0.0538322, 0.0353688
5789.1600298069997734, -0.00347526, 0.00263984, 0.0027496, 0.770952, 0.0318623, -0.635821, -0.0186776, -0.0191383, 0.0476367, 0.0206972
5789.1933461680000619, -0.00318362, 0.00364786, 0.00195911, 0.771601, 0.0345996, -0.634864, -0.0195694, -0.0199233, 0.0570227, 0.00248584
5789.2266624730000331, -0.00240659, 0.00669867, 0.00126565, 0.77227, 0.035018, -0.634079, -0.0177816, -0.0200788, 0.0789363, -0.0200637
5789.2599788070001523, -0.00155435, 0.00764805, -0.000459829, 0.772352, 0.037681, -0.633866, -0.0163013, -0.0260796, 0.0785577, -0.0394152
5789.2932951399998274, -0.00140146, 0.0083146, -0.00175617, 0.772563, 0.0388911, -0.633597, -0.0137063, -0.0268535, 0.0694408, -0.0510765
5789.32661150200056, 0.000489617, 0.00878142, -0.00104194, 0.773462, 0.0391163, -0.632548, -0.0104435, -0.00474388, 0.0558146, -0.0605298
5789.3599278350002351, 0.00298292, 0.0073255, 7.88211e-05, 0.7738, 0.0397556, -0.632126, -0.00834144, 0.0149852, 0.0266719, -0.0663672
5789.3932441400002062, 0.00483017, 0.00768663, 0.0010781, 0.773214, 0.0382536, -0.632959, -0.00627619, 0.0265342, 0.0143625, -0.0697294
5789.4265605020000294, 0.00657716, 0.00852429, 0.00128866, 0.772242, 0.0367988, -0.634241, -0.00515109, 0.0231292, 0.00495321, -0.071631
5789.4598768020005082, 0.00843656, 0.00949619, 0.000958673, 0.771168, 0.0359365, -0.635593, -0.00553259, 0.0136896, -0.00143305, -0.0698075
5789.4931931350001832, 0.00976752, 0.00882032, 0.000627341, 0.770031, 0.0364832, -0.636922, -0.00721432, 0.0105977, -0.00991604, -0.0605951
5789.5266595020002569, 0.0123008, 0.00717162, 0.00235277, 0.769047, 0.0364485, -0.63809, -0.00897477, 0.0291839, -0.0130516, -0.0457375
5789.559975834999932, 0.0141178, 0.00620984, 0.00234336, 0.767151, 0.0346706, -0.64045, -0.0100534, 0.0251298, -0.0101599, -0.0405
5789.5932921399999032, 0.0159794, 0.00743202, 0.00149232, 0.765692, 0.0317313, -0.642338, -0.0104858, 0.00927399, 0.00472688, -0.0501765
5789.6266085019997263, 0.0178172, 0.00930877, 0.000974253, 0.764548, 0.0292955, -0.643814, -0.0105454, 0.0011453, 0.0242212, -0.0584537
5789.6599248350003108, 0.019853, 0.0108918, 0.000746854, 0.763463, 0.027319, -0.645189, -0.0104541, 0.00241047, 0.0392188, -0.0648557
5789.6932411679999859, 0.0225813, 0.013194, 0.000958394, 0.762353, 0.0249135, -0.646608, -0.00971713, 0.0126074, 0.0565152, -0.0718517
5789.7265574680004647, 0.0255558, 0.0150301, 0.000614267, 0.761057, 0.0227209, -0.64823, -0.00862199, 0.0160077, 0.0646923, -0.0780118
5789.7598754830005419, 0.0287878, 0.0170318, 0.00152595, 0.759845, 0.0204088, -0.649736, -0.00791475, 0.0307576, 0.0704568, -0.0765912
5789.793190135000259, 0.0323663, 0.0197146, 0.00251698, 0.758042, 0.0184275, -0.651902, -0.00753658, 0.0419041, 0.0789089, -0.0796352
5789.826506502000484, 0.0366671, 0.0197791, 0.00306609, 0.756187, 0.0178136, -0.65406, -0.00835064, 0.0443899, 0.0684683, -0.0813275
5789.8599727780001558, 0.0410643, 0.0212126, 0.00469962, 0.754194, 0.0163535, -0.656362, -0.0106266, 0.0497122, 0.0628804, -0.0820653
5789.8932891399999789, 0.0457354, 0.0233547, 0.00545217, 0.751647, 0.0157266, -0.659228, -0.0140296, 0.038984, 0.0618912, -0.0938856
5789.9266055019998021, 0.0495644, 0.0239509, 0.00351595, 0.749274, 0.0162544, -0.661799, -0.0186381, 0.0131168, 0.0545849, -0.107005
5789.9599218350003866, 0.0543368, 0.0265758, 0.00234415, 0.74779, 0.015724, -0.663349, -0.0230247, 0.0058874, 0.0637589, -0.125517
5789.9932381400003578, 0.0593264, 0.0271143, 0.00259217, 0.746324, 0.0144271, -0.664943, -0.0253401, 0.0228413, 0.0677762, -0.134421
5790.0265545020001809, 0.0634857, 0.0264692, 0.00243262, 0.744193, 0.0105254, -0.667385, -0.0257399, 0.0510891, 0.0591913, -0.133965
5790.0598708830002579, 0.068149, 0.0262223, 0.00267664, 0.741782, 0.00290139, -0.670207, -0.0239515, 0.0693886, 0.0442367, -0.137346
5790.0931871399998272, 0.0733165, 0.0277021, 0.00422248, 0.739394, -0.00712677, -0.672893, -0.021472, 0.0684617, 0.0266941, -0.145237
5790.1265035020005598, 0.0795805, 0.0290325, 0.0052873, 0.736978, -0.0175528, -0.675387, -0.0201811, 0.0648607, 0.00800963, -0.151201
5790.1598198060000868, 0.0845519, 0.0301921, 0.00584954, 0.733775, -0.0282247, -0.678491, -0.0206742, 0.0547678, -0.0161081, -0.147383
5790.19313616799991, 0.0884936, 0.0315031, 0.00602745, 0.731052, -0.0396324, -0.680782, -0.0229894, 0.0242001, -0.0390254, -0.156206
5790.2266024729997298, 0.0931781, 0.0344272, 0.00150789, 0.729861, -0.050899, -0.681206, -0.0259064, -0.0271153, -0.050539, -0.170383
